Number,StateNum,Name,Area,Type,PFG Type,Period,Initial Period,Terminal Period,Northing,Easting,Zone,Num_Mounds,Max Mound Height (ft),Max Mound Area (sq ft),St Francis,Ditch,Platform
18-M-7,,Priscilla,Yazoo,Small Village Site with Mound(s),,C-B,C,B,3712260.0,686230.0,15.0,1+,0.0,0.0,0,0.0,0
18-N-1,,Barlow,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3732700.0,723842.0,15.0,1,12.0,0.0,0,0.0,0
18-N-10,,Gillfield,Yazoo,Conical Mound(s),,?,?,?,3726357.0,726643.0,15.0,1,0.0,0.0,0,0.0,0
18-N-2,,Marlow Cemeter,Yazoo,Small Village Site with Mound(s),Conical Mound,D-C,D,C,3734730.0,725412.0,15.0,1,8.0,2827.4333882308138,0,0.0,0
18-N-3,,Cooper,Yazoo,Small Village Site with Mound(s),,F-E,F,E,3733940.0,714695.0,15.0,1,0.0,0.0,0,0.0,0
18-N-4,,Steiner,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3719990.0,721258.0,15.0,1,0.0,0.0,0,0.0,0
18-N-5,,Moorhead Bayou,Yazoo,Mounds - Unknown,,?,?,?,3715609.0,716218.0,15.0,1,0.0,0.0,0,0.0,0
18-N-6,,Anderson,Yazoo,Mounds - Unknown,,?,?,?,3713751.0,720290.0,15.0,1,0.0,0.0,0,0.0,0
18-N-7,,Boyer,Yazoo,Small Village Site with Mound(s),,C-B,C,B,3711300.0,718394.0,15.0,1+,0.0,0.0,0,0.0,0
18-N-8,,MacGregor,Yazoo,Shell Midden,Shell Midden,D-C,D,C,3719880.0,726232.0,15.0,0,0.0,0.0,0,0.0,0
18-N-9,,Eastland,Yazoo,Shell Midden,Shell Midden,D-C,D,C,3727730.0,725886.0,15.0,0,0.0,0.0,0,0.0,0
18-O-1,,Barry,Yazoo,Shell Midden,Shell Midden,E-D,E,D,3720200.0,752322.0,15.0,0,0.0,0.0,0,0.0,0
18-O-2,,Garrard,Yazoo,Small Village Site with Mound(s),,?,?,?,3726165.0,745204.0,15.0,2,0.0,0.0,0,0.0,0
18-P-1,,Lester Way,Yazoo,Small Village Site with Mound(s),,E-D,E,D,3714690.0,756552.0,15.0,1,0.0,0.0,0,0.0,0
18-P-2,,Whaley,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3724190.0,767295.0,15.0,4,5.0,0.0,0,0.0,0
19-L-1,,Winterville,Yazoo,Large Ceremonial Center,Large Ceremonial Center,C-B,C,B,3705750.0,679336.0,15.0,7,54.0,10000.0,0,0.0,1
19-L-2,,Bachelor Bend,Yazoo,Small Village Site with Mound(s),,?,?,?,3705421.0,677073.0,15.0,1+,0.0,0.0,0,0.0,0
19-L-3,,Ely,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3704530.0,681400.0,15.0,1,3.0,0.0,0,0.0,0
19-L-4,,Deer City,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3703710.0,684664.0,15.0,2,12.0,2238.8933666756225,0,0.0,0
19-L-5,,Ireland,Yazoo,Large Village Site,,E-D,E,D,3704760.0,684088.0,15.0,0,0.0,0.0,0,0.0,0
19-L-6,,Refuge,Yazoo,Large Ceremonial Center,Large Ceremonial Center,B-A,B,A,3686170.0,676824.0,15.0,3,15.0,7104.180875028417,0,0.0,1
19-L-7,,Ash Bayou,Yazoo,Mounds - Unknown,,?,?,?,3691360.0,681276.0,15.0,1,0.0,13526.328755613566,0,0.0,0
19-M-1,,Leland,Yazoo,Large Ceremonial Center,Large Ceremonial Center,C-B,C,B,3699360.0,696616.0,15.0,5,31.0,0.0,0,0.0,0
19-M-2,,Sheldon,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3704450.0,687779.0,15.0,2,0.0,0.0,0,0.0,0
19-M-3,,Stoneville,Yazoo,Small Ceremonial Center,Small Ceremonial Center,B-A,B,A,3697740.0,693504.0,15.0,1+,6.0,30434.23970013052,0,0.0,0
19-M-4,,Dunleith,Yazoo,Small Village Site with Mound(s),,?,?,?,3698070.0,700945.0,15.0,1+,0.0,0.0,0,0.0,1
19-M-5,,Hollyknowe,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3695720.0,701359.0,15.0,1,5.0,7608.55992503263,0,0.0,0
19-M-6,,Arcola High School,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3682620.0,696415.0,15.0,2,5.0,0.0,0,0.0,0
19-M-7,,Polk,Yazoo,Small Ceremonial Center,Small Ceremonial Center,H-C,H,C,3700030.0,703309.0,15.0,1,5.0,0.0,0,0.0,0
19-N-1,,Kinlock,Yazoo,Small Ceremonial Center,Small Ceremonial Center,H-G + B-A,H,A,3688530.0,712059.0,15.0,5,14.0,0.0,0,0.0,0
19-N-2,,Shields,Yazoo,Shell Midden,Shell Midden,F-E,F,E,3695340.0,714533.0,15.0,1+,0.0,0.0,0,0.0,0
19-N-3,,Bay Lake,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3694960.0,711987.0,15.0,3,6.0,3487.50697501395,0,0.0,0
19-N-4,,Danzler,Yazoo,Conical Mound(s),,?,?,?,3698490.0,701100.0,15.0,2,0.0,0.0,0,0.0,0
19-N-5,,Failing,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3703550.0,720713.0,15.0,2,0.0,0.0,0,0.0,0
19-N-6,,Lake Dawson,Yazoo,Large Ceremonial Center,Large Ceremonial Center,C-B,C,B,3686180.0,720187.0,15.0,4,30.0,0.0,0,0.0,0
19-N-7,,Mitchell,Yazoo,Small Village Site with Mound(s),,D-C,D,C,3705840.0,719493.0,15.0,1,0.0,6458.346250025834,0,0.0,1
19-N-8,,Horve Hope,Yazoo,Mounds - Unknown,,?,?,?,3707676.0,718187.0,15.0,1,0.0,0.0,0,0.0,0
19-O-1,,McLean,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3706733.0,749763.0,15.0,2,15.0,16145.865625064584,0,0.0,0
19-O-2,,Shell Bluff,Yazoo,Shell Midden,Shell Midden,E-C,E,C,3698580.0,751416.0,15.0,0,0.0,34444.51333347111,0,0.0,0
19-O-3,,Fleming,Yazoo,Shell Midden,Shell Midden,D-C,D,C,3683590.0,752467.0,15.0,0,0.0,0.0,0,0.0,0
19-O-4,,Archer,Yazoo,Shell Midden,Shell Midden,E-D,E,D,3689580.0,753434.0,15.0,0,0.0,0.0,0,0.0,0
19-O-5,,Old Dominion,Yazoo,Conical Mound(s),,?,?,?,3696290.0,742553.0,15.0,1,0.0,1902.1399812581576,0,0.0,0
19-O-6,,Robinson Deadening,Yazoo,Mounds - Unknown,,?,?,?,3698319.0,738882.0,15.0,1,0.0,3229.173125012917,0,0.0,0
20-M-1,,Arcola,Yazoo,Large Ceremonial Center,Large Ceremonial Center,B-A,B,A,3678140.0,696839.0,15.0,3,43.0,45208.42375018083,0,0.0,0
20-M-2,,Deer Creek,Yazoo,Large Ceremonial Center,Large Ceremonial Center,B-A,B,A,3662880.0,701081.0,15.0,4,40.0,0.0,0,0.0,0
20-M-3,,Panther Burn,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3660270.0,698020.0,15.0,1+,8.0,7608.55992503263,0,0.0,0
20-M-4,,Lessiedell,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3662670.0,691027.0,15.0,2,12.0,15069.47458339361,0,0.0,0
20-M-5,,Swan Lake,Yazoo,Small Ceremonial Center; Poverty Point,Small Ceremonial Center,H-A,H,A,3664480.0,688291.0,15.0,2,24.0,45208.42375018083,0,0.0,0
20-M-6,,Clower,Yazoo,Mounds - Unknown,,?,?,?,3668300.0,702315.0,15.0,1,0.0,21134.888680646192,0,0.0,0
20-N-1,,Midnight,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3657440.0,724827.0,15.0,2,10.0,8072.932812532292,0,0.0,0
20-N-2,,Summerfield,Yazoo,Large Ceremonial Center,Large Ceremonial Center,D-C,D,C,3658120.0,718497.0,15.0,3,25.0,17222.256666735557,0,0.0,1
20-N-3,,Straight Bayou,Yazoo,Mounds - Unknown,,?,?,?,3685237.0,723800.0,15.0,1,0.0,3381.5821889033914,0,0.0,0
20-N-4,,Kongo,Yazoo,Mounds - Unknown,,?,?,?,3666880.0,711169.0,15.0,1+,0.0,5166.677000020667,0,0.0,0
20-O-1,,Jaketown,Yazoo,Large Ceremonial Center,Large Ceremonial Center,H-G + C-B ,C,B,3679240.0,733349.0,15.0,5,15.0,0.0,0,0.0,0
20-O-2,,Belzoni,Yazoo,Small Ceremonial Center,Small Ceremonial Center,D-C,D,C,3673870.0,734745.0,15.0,2,12.0,20625.0,0,0.0,0
20-O-3,,Lamkin ,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3660940.0,738855.0,15.0,2,12.0,24487.896198014616,0,0.0,1
20-O-4,,Atchafalaya Bayou,Yazoo,Mounds - Unknown,,?,?,?,3686110.0,733150.0,15.0,2,0.0,9687.51937503875,0,0.0,0
20-O-5,,Silver City,Yazoo,Small Ceremonial Center,Small Ceremonial Center,C-B,C,B,3662890.0,733607.0,15.0,2,15.0,17954.66701755444,0,0.0,0
20-O-6,,Golson,Yazoo,Shell Midden,Shell Midden,E-D,E,D,3665620.0,734014.0,15.0,0,0.0,0.0,0,0.0,0
4-Q-1,,Peter Bess,SEMO,Small Village Site with Mound(s),,C-A,C,A,4105120.0,770455.0,15.0,6,10.0,17671.458676442588,0,0.0,1
5-R-1,,Sikeston,SEMO,Small Village Site with Mound(s),,E-A,E,A,4080008.0,271712.0,16.0,7+,11.0,27600.0,0,1.0,1
5-R-2,,East Lake,SEMO,Small Village Site with Mound(s),,E-A,E,A,4077576.0,272040.0,16.0,2,4.5,3318.307240354219,0,1.0,1
5-R-3,,Matthews,SEMO,Small Village Site with Mound(s),,D-A,D,A,4072344.0,268723.0,16.0,7,11.0,7700.0,0,1.0,1
5-R-8,,Morehouse,SEMO,Mounds - Unknown,,B-C,B,C,4079684.0,260043.0,16.0,1,0.0,0.0,0,0.0,0
5-Q-3,23-So-16,Durnell,SEMO,Small Village Site with Mound(s),,E-A,E,A,4096613.0,249918.0,16.0,0,0.0,0.0,0,0.0,0
5-S-5,,Lusk Chapel,SEMO,Conical Mound(s),,D-A,D,A,4099360.0,820690.0,15.0,1,18.0,0.0,0,0.0,0
5-S-1 ,,Charleston,SEMO,Small Village Site with Mound(s),,D-A,D,A,4089040.0,833026.0,15.0,4,0.0,0.0,0,0.0,0
5-S-1b,,Charleston-2,SEMO,Conical Mound(s),,E-D,E,D,4093225.0,829422.0,15.0,1,0.0,0.0,0,0.0,0
5-S-4,,Sandy Woods,SEMO,Small Village Site with Mound(s),,D-A,D,A,4098150.0,816096.0,15.0,9,18.0,0.0,0,1.0,1
5-S-6,,Meyer's Mound,SEMO,Small Village Site with Mound(s),,D-A,D,A,4090020.0,833225.0,15.0,2,15.0,0.0,0,0.0,1
5-T-1,,Crosno,SEMO,Small Village Site with Mound(s),,D-A,D,A,4076910.0,841830.0,15.0,4,18.0,0.0,0,1.0,1
5-T-6,,Wickliffe,SEMO,Small Village Site with Mound(s),,D-B,D,B,4098740.0,847845.0,15.0,10,0.0,0.0,0,0.0,1
6-Q-1,,Rich Woods,SEMO,Large Ceremonial Center,,E-A,E,A,4065270.0,771193.0,15.0,35,0.0,0.0,0,0.0,1
6-Q-2,,County Line,SEMO,Small Village Site with Mound(s),,E-A,E,A,4056300.0,771756.0,15.0,1,4.0,0.0,0,1.0,1
6-Q-4,,Wulfing Plates,SEMO,Unknown,,?,?,?,4045150.0,771274.0,15.0,0,0.0,0.0,0,0.0,0
6-R-1,,Lilbourn,SEMO,Small Village Site with Mound(s),,D-A,D,A,4052340.0,805749.0,15.0,8,21.0,58800.0,0,1.0,1
6-S-1,,Barker,SEMO,Mounds - Unknown,,D-A,D,A,4066240.0,826023.0,15.0,3,0.0,0.0,0,0.0,1
6-S-2,,Spanish Grant,SEMO,Mounds - Unknown,,D-A,D,A,4069440.0,821373.0,15.0,1,0.0,0.0,0,0.0,0
6-S-3,,Survey Site,SEMO,Small Village Site,,D-A,D,A,4071830.0,822426.0,15.0,0,0.0,0.0,0,0.0,0
6-S-4,,East Bayou,SEMO,Small Village Site,,D-A,D,A,4061175.0,821917.0,15.0,0,0.0,0.0,0,0.0,0
6-T-1,,Beckwith's Fort,SEMO,Village Site With Mound(s),,D-A,D,A,4067516.0,836366.0,15.0,6,20.0,17600.0,0,1.0,1
6-T-3,,O'Byam's Fort,SEMO,Village Site With Mound(s),,?,?,?,4064770.0,847784.0,,,0.0,0.0,,,
7-P-1,23-DU-4,Holcomb,SEMO,Village Site With Mound(s),,E-A,E,A,4030210.0,764533.0,15.0,4,12.0,70685.83470577035,0,0.0,1
7-Q-1,,Wardell,SEMO,Village Site With Mound(s),,D-A,D,A,4026910.0,784105.0,15.0,2,0.0,0.0,0,1.0,0
7-R-3,,Estes,SEMO,Village Site With Mound(s),,E-A,E,A,4026130.0,801133.0,15.0,1,0.0,0.0,0,1.0,0
8-O-1,,Cockrum Landing,SEMO,Mounds - Unknown,,E-A,E,A,3987390.0,739460.0,15.0,1,0.0,0.0,0,0.0,0
8-O-2,,Wilkins Island,SEMO,Mounds - Unknown,,E-A,E,A,3995420.0,742596.0,15.0,1+,0.0,0.0,0,0.0,0
8-P-1,,Old Varney River,SEMO,Mounds - Unknown,,E-A,E,A,4002970.0,749679.0,15.0,1,0.0,22500.0,0,0.0,0
8-P-2,,Kennett,SEMO,Village Site With Mound(s),,E-A,E,A,4012710.0,760148.0,15.0,1,12.0,0.0,0,0.0,0
8-P-3,23-DU-1,Landgon,SEMO,Village Site With Mound(s),,E-A,E,A,3996510.0,760676.0,15.0,3+,22.0,10000.0,0,1.0,1
8-Q-3,,Canady,SEMO,Village Site With Mound(s),,E-A,E,A,4005340.0,791872.0,15.0,2+,0.0,0.0,0,0.0,0
8-Q-4,,Persimmon Grove,SEMO,Village Site With Mound(s),,D-A,D,A,4000950.0,791867.0,15.0,1,6.0,1963.4954084936207,0,0.0,0
8-Q-5,,Holland,SEMO,Village Site With Mound(s),,C-A,C,A,3994950.0,785475.0,15.0,5,0.0,0.0,0,0.0,0
8-Q-7,,Cooter,SEMO,Village Site With Mound(s),,C-A,C,A,3992420.0,789617.0,15.0,1,6.0,7853.981633974483,0,0.0,0
8-Q-8,,Frakes,SEMO,Unknown,,C-A,C,A,3999376.0,783686.0,15.0,1+,0.0,0.0,0,0.0,0
8-R-1,,Caruthersville,SEMO,Village Site With Mound(s),,D-A,D,A,4005740.0,797559.0,15.0,2,30.0,30000.0,0,0.0,1
8-R-2,,Kinfolk Ridge,SEMO,Mounds - Unknown,,C-A,C,A,4003880.0,801545.0,15.0,2,0.0,0.0,0,0.0,0
8-R-3,,Chute,SEMO,Village Site With Mound(s),,C-A,C,A,4005300.0,803692.0,15.0,1,6.0,7853.981633974483,0,0.0,0
Yz 1,,Chickachae,LA-MS,Village Site With Mound(s),,C-A,C,A,3558560.0,890054.0,15.0,0,0.0,0.0,0,0.0,0
Yz 2,,Coosa,LA-MS,Village Site With Mound(s),,C-A,C,A,3600310.0,911517.0,15.0,0,0.0,0.0,0,0.0,0
Yz 3,,Nanih Waiya,LA-MS,Village Site With Mound(s),,F-A,F,A,3647690.0,872743.0,15.0,2,25.0,30520.0,0,0.0,1
Yz 4,,Nick place,LA-MS,Village Site With Mound(s),,C-A,C,A,3437690.0,592929.0,15.0,1,0.0,0.0,0,0.0,0
Yz 5,,Fatherland Place,LA-MS,Village Site With Mound(s),,C-A,C,A,3490800.0,654061.0,15.0,3,0.0,0.0,0,0.0,1
Yz 6,,Foster Place,LA-MS,Village Site With Mound(s),,C-A,C,A,3494500.0,663189.0,15.0,0,0.0,0.0,0,0.0,0
Yz 7,,Natchez Fort,LA-MS,Village Site With Mound(s),,C-A,C,A,3528960.0,628927.0,15.0,0,0.0,0.0,0,0.0,0
Yz 8,,Smithport Landing,LA-MS,Village Site With Mound(s),,C-A,C,A,3555890.0,449895.0,15.0,0,0.0,0.0,0,0.0,0
Yz 9,,Jim Sinner Place,LA-MS,Village Site With Mound(s),,C-A,C,A,3588570.0,464030.0,15.0,0,0.0,0.0,0,0.0,0
Yz 10,,Ed Pease,LA-MS,Village Site With Mound(s),,C-A,C,A,3583080.0,464129.0,15.0,0,0.0,0.0,0,0.0,0
Yz 11,,Rock Bayou,LA-MS,Village Site With Mound(s),,C-A,C,A,3529860.0,478941.0,15.0,0,0.0,0.0,0,0.0,0
Yz 12,,Bod Hardy,LA-MS,Village Site With Mound(s),,C-A,C,A,3645560.0,497265.0,15.0,0,0.0,0.0,0,0.0,0
Yz 13,,Hy. Edwards,LA-MS,Village Site With Mound(s),,D-A,D,A,3594590.0,472567.0,15.0,0,0.0,0.0,0,0.0,0
Yz 14,,Maddox Place,LA-MS,Village Site With Mound(s),,D-A,D,A,3623130.0,454392.0,15.0,0,0.0,0.0,0,0.0,0
Yz 15,,Wilkinson Place,LA-MS,Village Site With Mound(s),,E-A,E,A,3532340.0,464435.0,15.0,0,0.0,0.0,0,0.0,0
Yz 16,,Arch Green,LA-MS,Village Site With Mound(s),,C-A,C,A,3604470.0,506103.0,15.0,0,0.0,0.0,0,0.0,0
Yz 17,,Mound Place,LA-MS,Village Site With Mound(s),,D-A,D,A,3622030.0,430760.0,15.0,4,0.0,0.0,0,0.0,1
Yz 18,,Colbert Place,LA-MS,Village Site With Mound(s),,E-A,E,A,3608130.0,501944.0,15.0,0,0.0,0.0,0,0.0,0
Yz 19,,Harrison Bayou,LA-MS,Village Site With Mound(s),,E-A,E,A,3621940.0,414574.0,15.0,0,0.0,0.0,0,0.0,0
Yz 20,,Point Post Office,LA-MS,Village Site With Mound(s),,F-A,F,A,3615960.0,574238.0,15.0,0,0.0,0.0,0,0.0,0
Yz 24,,Pocahontas,LA-MS,Village Site With Mound(s),,D-A,D,A,3592510.0,757736.0,15.0,2,0.0,0.0,0,0.0,1
Yz 25,,Anna,LA-MS,Village Site With Mound(s),,D-A,D,A,3503640.0,660882.0,15.0,4,0.0,0.0,0,0.0,1
Yz 26,,Brans Camp,LA-MS,Village Site With Mound(s),,E-D,E,D,3721310.0,899007.0,15.0,0,0.0,0.0,0,0.0,0
Yz 27,,Lyons Bluff,LA-MS,Village Site With Mound(s),,E-D,E,D,3717310.0,895793.0,15.0,0,0.0,0.0,0,0.0,0
Yz 28,,Godfrey Smith,LA-MS,Village Site With Mound(s),,E-C,E,C,3653460.0,733164.0,15.0,1,0.0,0.0,0,0.0,1
Yz 33,,Hancock Pl,LA-MS,Village Site With Mound(s),,E-C,E,C,3617160.0,737609.0,15.0,0,0.0,0.0,0,0.0,0
Yz 34,,Hoag Pl,LA-MS,Village Site With Mound(s),,E-C,E,C,3613140.0,803098.0,15.0,0,0.0,0.0,0,0.0,0
Yz 35,,Ingersole Pl,LA-MS,Village Site With Mound(s),,E-C,E,C,3651420.0,752652.0,15.0,4,0.0,0.0,0,0.0,1
Yz 36,,Lightcap Pl,LA-MS,Village Site With Mound(s),,E-C,E,C,3634530.0,739215.0,15.0,0,0.0,0.0,0,0.0,0
Yz 37,,Lee Pl,LA-MS,Village Site With Mound(s),,E-D,E,D,3603570.0,733924.0,15.0,0,0.0,0.0,0,0.0,0
Yz 38,,Plymouth Bluff,LA-MS,Village Site With Mound(s),,E-D,E,D,3712950.0,924627.0,15.0,0,0.0,0.0,0,0.0,1
Yz 43,,Taylor Pl.,LA-MS,Village Site With Mound(s),,E-D,E,D,3635350.0,782428.0,15.0,2,0.0,0.0,0,0.0,0
Yz 44,,Walker Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3608000.0,743694.0,15.0,3,0.0,0.0,0,0.0,0
Yz 48,,Reynolds Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3708970.0,887723.0,15.0,0,0.0,0.0,0,0.0,0
Yz 50,,Gross Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3612320.0,759508.0,15.0,1,0.0,0.0,0,0.0,0
Yz 51,,Deasonville v.s.,LA-MS,Village Site With Mound(s),,F-C,F,C,3629530.0,774209.0,15.0,0,0.0,0.0,0,0.0,0
Yz 52,,Christmas Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3671690.0,764066.0,15.0,3,0.0,0.0,0,0.0,0
Yz 54,,L.M. Coody,LA-MS,Village Site With Mound(s),,F-C,F,C,3606440.0,739890.0,15.0,0,0.0,0.0,0,0.0,0
Yz 55,,Cowsert Pl.,LA-MS,Village Site With Mound(s),,F-D,F,D,3654110.0,792935.0,15.0,0,0.0,0.0,0,0.0,0
Yz 56,,Exum Pl.,LA-MS,Village Site With Mound(s),,F-D,F,D,3631600.0,779848.0,15.0,0,0.0,0.0,0,0.0,0
Yz 57,,Old Hoover,LA-MS,Village Site With Mound(s),,F-D,F,D,3644760.0,788123.0,15.0,1,0.0,0.0,0,0.0,0
Yz 58,,Lake View Pl.,LA-MS,Village Site With Mound(s),,F-A,F,A,3442538.0,576534.0,15.0,2,0.0,0.0,0,0.0,0
Yz 59,,McRae Pl.,LA-MS,Village Site With Mound(s),,F-D,F,D,3559250.0,915444.0,15.0,1,0.0,0.0,0,0.0,0
Yz 61,,Coles Creek,LA-MS,Village Site With Mound(s),,E-A,E,A,3501940.0,676598.0,15.0,2,0.0,0.0,0,0.0,0
Yz 62,,Billy Ldg.,LA-MS,Village Site With Mound(s),,E-A,E,A,3548450.0,591336.0,15.0,0,0.0,0.0,0,0.0,0
Yz 63,,James Smith,LA-MS,Village Site With Mound(s),,0,0,0,3544320.0,470487.0,15.0,0,0.0,0.0,0,0.0,0
Yz 64,,Hedgland Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3526790.0,637078.0,15.0,2,0.0,0.0,0,0.0,1
Yz 65,,Ditto Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3531850.0,632060.0,15.0,0,0.0,0.0,0,0.0,0
Yz 67,,Mazique Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3479720.0,660429.0,15.0,2,0.0,0.0,0,0.0,1
Yz 69,,C.H. Neely Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3624330.0,655484.0,15.0,3,0.0,0.0,0,0.0,0
Yz 70,,Rhinehart Site,LA-MS,Village Site With Mound(s),,D-C,D,C,3499460.0,594819.0,15.0,0,0.0,0.0,0,0.0,0
Yz 71,,Smith Creek,LA-MS,Village Site With Mound(s),,E-C,E,C,3442520.0,640804.0,15.0,3,0.0,0.0,0,0.0,1
Yz 72,,Stark Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3585550.0,644775.0,15.0,4,0.0,0.0,0,0.0,1
Yz 73,,Truly Pl.,LA-MS,Village Site With Mound(s),,E-C,E,C,3512950.0,670669.0,15.0,0,0.0,0.0,0,0.0,0
Yz 74,,White Oak. Ladg.,LA-MS,Village Site With Mound(s),,E-C,E,C,3536520.0,615638.0,15.0,2,0.0,0.0,0,0.0,0
Yz 75,,Chevalier Md.,LA-MS,Village Site With Mound(s),,E-C,E,C,3485450.0,595472.0,15.0,1,0.0,0.0,0,0.0,0
Yz 76,,Picketts I.,LA-MS,Village Site With Mound(s),,F-C,F,C,3497570.0,601715.0,15.0,0,0.0,0.0,0,0.0,0
Yz 77,,Chase Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3474230.0,651649.0,15.0,0,0.0,0.0,0,0.0,0
Yz 78,,Barfield Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3540850.0,610985.0,15.0,0,0.0,0.0,0,0.0,0
Yz 79,,Beldoin Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3437660.0,578697.0,15.0,1,0.0,0.0,0,0.0,0
Yz 80,,Wild Hog Md.,LA-MS,Village Site With Mound(s),,F-C,F,C,3473450.0,600817.0,15.0,1,0.0,0.0,0,0.0,0
Yz 81,,Marsden Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3597040.0,645215.0,15.0,1,0.0,0.0,0,0.0,0
Yz 83,,Alphenia Lldg.,LA-MS,Village Site With Mound(s),,F-C,F,C,3524320.0,640628.0,15.0,3,0.0,0.0,0,0.0,1
Yz 84,,Sidney Biggs Pl.,LA-MS,Village Site With Mound(s),,F-A,F,A,3573880.0,649938.0,15.0,0,0.0,0.0,0,0.0,0
Yz 85,,Camp Bayou Md.,LA-MS,Village Site With Mound(s),,F-C,F,C,3478450.0,585911.0,15.0,1,0.0,0.0,0,0.0,0
Yz 86,,Dunbarton Pl.,LA-MS,Village Site With Mound(s),,F-A,F,A,3508270.0,630353.0,15.0,0,0.0,0.0,0,0.0,0
Yz 87,,Gorum Md.,LA-MS,Village Site With Mound(s),,F-C,F,C,3484960.0,589859.0,15.0,2,0.0,0.0,0,0.0,0
26-I-1,,Jonesville/Troysville,LA-MS,Village Site With Mound(s),,F-A,F,A,3499940.0,611577.0,15.0,21,0.0,0.0,0,0.0,1
Yz 90,,Hudson Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3467810.0,604756.0,15.0,4,0.0,0.0,0,0.0,1
Yz 91,,Greenhouse Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3447536.0,590384.0,15.0,7,12.0,14400.0,0,0.0,1
Yz 93,,Neal Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3615560.0,652948.0,15.0,6,0.0,0.0,0,0.0,1
Yz 94,,Prichard Ldg.,LA-MS,Village Site With Mound(s),,F-C,F,C,3518940.0,615855.0,15.0,0,0.0,0.0,0,0.0,0
Yz 95,,Peck Site,LA-MS,Village Site With Mound(s),,F-C,F,C,3522230.0,628440.0,15.0,2,0.0,0.0,0,0.0,0
Yz 96,,King Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3524360.0,616636.0,15.0,0,0.0,0.0,0,0.0,0
Yz 97,,Yokena Site,LA-MS,Village Site With Mound(s),,F-A,F,A,3559450.0,692964.0,15.0,3,0.0,0.0,0,0.0,1
Yz 98,,Hill Pl.,LA-MS,Village Site With Mound(s),,F-E,F,E,3564050.0,639261.0,15.0,0,0.0,0.0,0,0.0,0
Yz 99,,Fredericks Pl.,LA-MS,Village Site With Mound(s),,F-E,F,E,3531430.0,510327.0,15.0,1,0.0,0.0,0,0.0,0
Yz 100,,McIntosh Pl.,LA-MS,Village Site With Mound(s),,F-E,F,E,3642470.0,659747.0,15.0,4,0.0,0.0,0,0.0,0
Yz 101,,Smithfield Pl.,LA-MS,Village Site With Mound(s),,F-E,F,E,3380800.0,651510.0,15.0,1,0.0,0.0,0,0.0,0
Yz 102,,Churupa Pl.,LA-MS,Village Site With Mound(s),,F-C,F,C,3500690.0,628655.0,15.0,1,0.0,0.0,0,0.0,0
Yz 103,,Marksville Site,LA-MS,Village Site With Mound(s),,F-E,F,E,3442060.0,592371.0,15.0,4,0.0,0.0,0,1.0,1
16-K-3,3AR12,Moore Place,Arkansas,Village Site With Mound(s),,B-A,B,A,3767832.0,646824.0,15.0,1,0.0,0.0,0,0.0,0
15-J-2,3AR021,Sycamore Lane Mound,Arkansas,Village Site With Mound(s),,C-B,C,B,3802310.0,626000.0,15.0,1,12.0,1963.4954084936207,0,0.0,0
15-L-5,3AR22,McKewen Site,Arkansas,Village Site With Mound(s),,?,?,?,3793268.0,662942.0,15.0,1+,0.0,0.0,0,0.0,0
15-J-5,3AR023,Blue Farm,Arkansas,Village Site With Mound(s),,?,?,?,3812156.0,622370.0,15.0,1,0.0,0.0,0,0.0,0
