Number,StateNum,Name,Area,Type,PFG Type,Period,Initial Period,Terminal Period,Northing,Easting,Zone,Num_Mounds,Max Mound Height (ft),Max Mound Area (sq ft),St Francis,Ditch,Platform
21-N-8,,Shannon,Yazoo,,,F-D,F,D,3632402.974,714442.046,15.0,1,0.0,0.0,0,0.0,0
21-N-9,,Waller,Yazoo,,,H-G,H,G,3632897.007,715859.987,15.0,2,0.0,0.0,0,0.0,0
21-O-1,,Boston Bayou,Yazoo,,,E-D,E,D,3642940.018,740300.034,15.0,1+,0.0,0.0,0,0.0,0
21-O-10,,Champlin,Yazoo,,,?,?,?,3640564.035,743207.987,15.0,4,14.0,5250.0,0,0.0,0
21-O-11,,York Hill ,Yazoo,,,E-D,E,D,3641088.046,745019.996,15.0,4,0.0,0.0,0,0.0,0
21-O-12,,Pete Clark,Yazoo,,,E-D,E,D,3643361.971,740105.988,15.0,1,10.0,2827.4333882308138,0,0.0,0
21-O-2,,Ingersoll,Yazoo,,,E-D,E,D,3653239.026,752423.039,15.0,0,0.0,0.0,0,0.0,0
21-O-3,,Clark's Ferry,Yazoo,,,E-D,E,D,3653239.026,752423.039,15.0,1,12.0,768.0,0,0.0,0
21-O-4,,McNeer,Yazoo,,,E-D,E,D,3653239.026,752423.039,15.0,1+,0.0,0.0,0,0.0,0
21-O-5,,Crump,Yazoo,,,E-D,E,D,3652385.968,741132.98,15.0,1,0.0,0.0,0,0.0,0
21-O-6,,Reaver Brown,Yazoo,,,F-E,F,E,3649507.953,733952.045,15.0,1,32.808398950131235,17119.25983132342,0,0.0,0
21-O-7,,Love,Yazoo,,,G-E,G,E,3650176.979,734749.02,15.0,2,0.0,0.0,0,0.0,0
21-O-9,,Shellwood,Yazoo,,,F-A,F,A,3644862.974,736380.019,15.0,2,0.0,0.0,0,0.0,0
22-L-1,,Magna Vista,Yazoo,,,B-A,B,A,3614869.989,681002.036,15.0,1,9.84251968503937,0.0,0,0.0,0
22-M-1,,Thorton,Yazoo,,,G-B,G,B,3615159.018,708355.038,15.0,1,0.0,0.0,0,0.0,0
22-M-2,,Jeff Davis,Yazoo,,,D-B,D,B,3613931.98,704147.03,15.0,4,6.561679790026247,16953.15890631781,0,0.0,0
22-M-3,,Aden,Yazoo,,,F-A,F,A,3613116.022,702939.956,15.0,3,9.84251968503937,4208.688972933502,0,0.0,0
22-M-4,,Blanton,Yazoo,,,?,?,?,3624831.962,693546.022,15.0,1,0.0,0.0,0,0.0,0
22-M-5,,Haynes Bluff,Yazoo,,,D-A,D,A,3600137.996,708113.954,15.0,4,29.52755905511811,5694.108610439443,0,0.0,0
22-M-6,,Manny,Yazoo,,,F-B,F,B,3617767.967,689332.046,15.0,4,13.123359580052494,0.0,0,0.0,1
22-M-7,,Johnson,Yazoo,,,C-B,C,B,3614868.986,690048.014,15.0,1+,0.0,0.0,0,0.0,0
22-M-8,,Hardee,Yazoo,,,C-B,C,B,3608247.997,701392.01,15.0,3,13.123359580052494,40364.66406266146,0,0.0,0
22-N-1,,Leist ,Yazoo,,,F-B,F,B,3616407.028,712927.977,15.0,3,16.404199475065617,23778.714795021144,0,0.0,1
22-N-10,,Landrum,Yazoo,,,?,?,?,3626892.032,716572.039,15.0,1,13.123359580052494,5283.722170161548,0,0.0,0
22-N-11,,Friedlander,Yazoo,,,?,?,?,3616291.985,723116.04,15.0,1,6.561679790026247,7608.55992503263,0,0.0,0
22-N-12,,Harworth,Yazoo,,,E-D,E,D,3618248.011,716855.996,15.0,0,0.0,0.0,0,0.0,0
22-N-13,,Trammel,Yazoo,,,G-E,G,E,3624143.975,719760.047,15.0,3,20.0,0.0,0,0.0,0
22-N-14,,Little Spanish Fort,Yazoo,,,E-B,E,B,3619308.01,715940.018,15.0,1,0.0,0.0,0,0.0,1
22-N-15,,Anthony's Fork,Yazoo,,,F-E,F,E,3624975.951,719448.037,15.0,0,0.0,0.0,0,0.0,0
22-N-16,,Hollis,Yazoo,,,F-E,F,E,3621054.978,714158.043,15.0,1,0.0,0.0,0,0.0,0
22-N-17,,Cowan,Yazoo,,,D-C,D,C,3612698.993,711550.999,15.0,0,0.0,0.0,0,0.0,0
22-N-18,,Kitterman,Yazoo,,,E-D,E,D,3612574.997,712288.028,15.0,0,0.0,0.0,0,0.0,0
22-N-19,,Russell,Yazoo,,,?,?,?,3612574.997,712288.028,15.0,1+,0.0,0.0,0,0.0,0
22-N-20,,Mengel,Yazoo,,,?,?,?,3618191.013,719179.981,15.0,1,0.0,0.0,0,0.0,0
22-N-21,,Gammel,Yazoo,,,D-B,D,B,3616822.035,718610.024,15.0,2,13.123359580052494,0.0,0,0.0,0
22-N-22,,Evans,Yazoo,,,?,?,?,3609732.001,711670.038,15.0,0,0.0,0.0,0,0.0,0
22-N-3,,No Mistake,Yazoo,,,?,?,?,3614167.986,729213.969,15.0,2,0.0,0.0,0,0.0,0
22-N-4,,Barry,Yazoo,,,E-D,E,D,3621526.019,728867.999,15.0,1,6.561679790026247,2164.212600898171,0,0.0,0
22-N-5,,Enola,Yazoo,,,?,?,?,3624605.012,726015.021,15.0,2,6.561679790026247,25833.385000103335,0,0.0,0
22-N-6,,Dornbusch,Yazoo,,,?,?,?,3603906.03,712092.952,15.0,1,6.561679790026247,25833.385000103335,0,0.0,0
22-N-8,,Potato Hill Bayou,Yazoo,,,?,?,?,3622914.002,725807.046,15.0,1,0.0,0.0,0,0.0,0
22-N-9,,Fairview,Yazoo,,,H-F,H,F,3625678.018,715423.969,15.0,3,8.202099737532809,41424.38181406654,0,0.0,0
