Number,Mound,Ditch,St Francis,Platform,Num_Mounds,Max Mound Area (sq ft),Max Mound Height (ft),PFG Type,Easting,Northing,Name
20-O-10,1.0,0.0,0,0.0,0,0.0,0.0,,750974.981,3674479.044,Brooks
20-O-12,1.0,0.0,0,0.0,0,0.0,0.0,,749656.004,3665595.994,Quafalorma
20-O-13,1.0,0.0,0,0.0,2,0.0,0.0,,750433.984,3665671.035,Horseshoe Brake
20-O-14,1.0,0.0,0,0.0,0,0.0,0.0,,747870.009,3658449.031,Bee Lake
20-O-18,1.0,0.0,0,0.0,4,0.0,0.0,,747870.009,3658449.031,Peaster
20-O-20,1.0,0.0,0,0.0,1,1734.9445429449634,9.0,,741229.038,3675310.966,Welsh Camp
20-O-7,0.0,0.0,0,0.0,0,0.0,0.0,,737163.018,3673080.989,Payne
20-O-8,1.0,0.0,0,0.0,1,0.0,0.0,,740414.039,3676519.013,McClintock
20-O-9,1.0,0.0,0,0.0,0,0.0,0.0,,755620.046,3675117.994,Tchula Lake
20-P-1,1.0,0.0,0,0.0,1,0.0,0.0,,761925.024,3669060.049,Gamewood
20-P-2,1.0,0.0,0,0.0,1,1902.1399812581576,9.84251968503937,,766589.964,3667852.96,Sontheimer
20-P-3,0.0,0.0,0,0.0,0,0.0,0.0,,763781.974,3667702.986,Temple
21-L-1,1.0,0.0,0,0.0,11,0.0,32.808398950131235,,681976.002,3640487.978,Mayersville
21-M-1,1.0,0.0,0,0.0,3,8075.0,38.0,,698323.968,3641747.986,Rolling Fork
21-M-10,1.0,0.0,0,0.0,1,0.0,4.0,,698323.968,3641747.986,Flannigan
21-M-11,1.0,0.0,0,0.0,1,0.0,0.0,,697891.998,3644747.961,Chipman
21-M-2,1.0,0.0,0,1.0,3,56700.0,25.0,,699104.02,3647088.053,Mount Helena
21-M-3,1.0,0.0,0,0.0,1,18334.649444186347,18.0,,701740.001,3650240.003,Anguilla
21-M-4,1.0,0.0,0,0.0,2,8072.932812532292,9.84251968503937,,709320.042,3633951.987,Lowery
21-M-5,1.0,0.0,0,0.0,4,5920.0,22.0,,693687.987,3631480.02,Cary
21-M-6,1.0,0.0,0,0.0,1,0.0,2.0,,693687.987,3631480.02,Moore
21-M-7,1.0,0.0,0,0.0,4,30434.23970013052,39.37007874015748,,689584.974,3651876.981,Grace
21-M-8,1.0,0.0,0,0.0,1,21134.888680646192,4.921259842519685,,689584.974,3651876.981,Lamidoux
21-M-9,1.0,0.0,1?,0.0,1,19375.0387500775,9.84251968503937,,688499.038,3645429.017,Alsworth
21-N-1,1.0,1.0,0,0.0,25,16500.0,60.0,,716892.031,3633043.951,Lake George
21-N-10,1.0,0.0,0,0.0,8,0.0,0.0,,714756.004,3632890.955,Savory
21-N-13,1.0,0.0,0,0.0,2,0.0,0.0,,731163.96,3643779.958,Erickson
21-N-15,1.0,0.0,0,0.0,3,0.0,0.0,,715852.042,3636003.022,Tanglewood
21-N-16,1.0,0.0,0,0.0,0,0.0,0.0,,715852.042,3636003.022,Robinson (Rialto)
21-N-17,1.0,0.0,0,0.0,0,0.0,0.0,,734930.034,3633225.953,Rugby
21-N-19,1.0,0.0,0,0.0,1,45000.0,6.0,,733820.029,3646204.045,Wilzone
21-N-2,1.0,0.0,0,0.0,1,0.0,0.0,,718718.967,3633526.972,Perry
21-N-20,0.0,0.0,0,0.0,0,0.0,0.0,,715644.961,3635839.957,Jerusalem
21-N-3,1.0,1.0,0,0.0,2,0.0,0.0,,712446.03,3626995.024,Spanish Fort
21-N-4,1.0,0.0,0,0.0,2,0.0,0.0,,715832.005,3628540.971,Mabin
21-N-5,1.0,0.0,0,0.0,0,0.0,0.0,,723373.019,3624999.974,Yucatan
21-N-6,1.0,0.0,0,0.0,1,0.0,0.0,,711899.0,3625970.966,Screws
21-N-7,1.0,0.0,0,1.0,3,13184.0,9.0,,713871.982,3631256.001,Stalonia
21-N-8,1.0,0.0,0,0.0,1,0.0,0.0,,714442.046,3632402.974,Shannon
21-N-9,1.0,0.0,0,0.0,2,0.0,0.0,,715859.987,3632897.007,Waller
21-O-1,1.0,0.0,0,0.0,1+,0.0,0.0,,740300.034,3642940.018,Boston Bayou
21-O-10,1.0,0.0,0,0.0,4,5250.0,14.0,,743207.987,3640564.035,Champlin
21-O-11,1.0,0.0,0,0.0,4,0.0,0.0,,745019.996,3641088.046,York Hill 
21-O-12,1.0,0.0,0,0.0,1,2827.4333882308138,10.0,,740105.988,3643361.971,Pete Clark
21-O-2,0.0,0.0,0,0.0,0,0.0,0.0,,752423.039,3653239.026,Ingersoll
21-O-3,1.0,0.0,0,0.0,1,768.0,12.0,,752423.039,3653239.026,Clark's Ferry
21-O-4,1.0,0.0,0,0.0,1+,0.0,0.0,,752423.039,3653239.026,McNeer
21-O-5,1.0,0.0,0,0.0,1,0.0,0.0,,741132.98,3652385.968,Crump
21-O-6,1.0,0.0,0,0.0,1,17119.25983132342,32.808398950131235,,733952.045,3649507.953,Reaver Brown
21-O-7,1.0,0.0,0,0.0,2,0.0,0.0,,734749.02,3650176.979,Love
21-O-9,1.0,0.0,0,0.0,2,0.0,0.0,,736380.019,3644862.974,Shellwood
22-L-1,1.0,0.0,0,0.0,1,0.0,9.84251968503937,,681002.036,3614869.989,Magna Vista
22-M-1,1.0,0.0,0,0.0,1,0.0,0.0,,708355.038,3615159.018,Thorton
22-M-2,1.0,0.0,0,0.0,4,16953.15890631781,6.561679790026247,,704147.03,3613931.98,Jeff Davis
22-M-3,1.0,0.0,0,0.0,3,4208.688972933502,9.84251968503937,,702939.956,3613116.022,Aden
22-M-4,1.0,0.0,0,0.0,1,0.0,0.0,,693546.022,3624831.962,Blanton
22-M-5,1.0,0.0,0,0.0,4,5694.108610439443,29.52755905511811,,708113.954,3600137.996,Haynes Bluff
22-M-6,1.0,0.0,0,1.0,4,0.0,13.123359580052494,,689332.046,3617767.967,Manny
22-M-7,1.0,0.0,0,0.0,1+,0.0,0.0,,690048.014,3614868.986,Johnson
22-M-8,1.0,0.0,0,0.0,3,40364.66406266146,13.123359580052494,,701392.01,3608247.997,Hardee
22-N-1,1.0,0.0,0,1.0,3,23778.714795021144,16.404199475065617,,712927.977,3616407.028,Leist 
22-N-10,1.0,0.0,0,0.0,1,5283.722170161548,13.123359580052494,,716572.039,3626892.032,Landrum
22-N-11,1.0,0.0,0,0.0,1,7608.55992503263,6.561679790026247,,723116.04,3616291.985,Friedlander
22-N-12,0.0,0.0,0,0.0,0,0.0,0.0,,716855.996,3618248.011,Harworth
22-N-13,1.0,0.0,0,0.0,3,0.0,20.0,,719760.047,3624143.975,Trammel
22-N-14,1.0,0.0,0,1.0,1,0.0,0.0,,715940.018,3619308.01,Little Spanish Fort
22-N-15,0.0,0.0,0,0.0,0,0.0,0.0,,719448.037,3624975.951,Anthony's Fork
22-N-16,1.0,0.0,0,0.0,1,0.0,0.0,,714158.043,3621054.978,Hollis
22-N-17,0.0,0.0,0,0.0,0,0.0,0.0,,711550.999,3612698.993,Cowan
22-N-18,0.0,0.0,0,0.0,0,0.0,0.0,,712288.028,3612574.997,Kitterman
22-N-19,1.0,0.0,0,0.0,1+,0.0,0.0,,712288.028,3612574.997,Russell
22-N-20,1.0,0.0,0,0.0,1,0.0,0.0,,719179.981,3618191.013,Mengel
22-N-21,1.0,0.0,0,0.0,2,0.0,13.123359580052494,,718610.024,3616822.035,Gammel
22-N-22,0.0,0.0,0,0.0,0,0.0,0.0,,711670.038,3609732.001,Evans
22-N-3,1.0,0.0,0,0.0,2,0.0,0.0,,729213.969,3614167.986,No Mistake
22-N-4,1.0,0.0,0,0.0,1,2164.212600898171,6.561679790026247,,728867.999,3621526.019,Barry
22-N-5,1.0,0.0,0,0.0,2,25833.385000103335,6.561679790026247,,726015.021,3624605.012,Enola
22-N-6,1.0,0.0,0,0.0,1,25833.385000103335,6.561679790026247,,712092.952,3603906.03,Dornbusch
22-N-8,1.0,0.0,0,0.0,1,0.0,0.0,,725807.046,3622914.002,Potato Hill Bayou
22-N-9,1.0,0.0,0,0.0,3,41424.38181406654,8.202099737532809,,715423.969,3625678.018,Fairview
23-M-1,1.0,0.0,0,1.0,4,0.0,25.0,,702784.988,3588521.965,Kings Crossing
23-M-2,1.0,0.0,0,1.0,1,12916.692500051668,6.561679790026247,,702784.988,3588521.965,Blakely
10-P-1,0.0,0.0,0,0.0,0,0.0,0.0,St. Francis,767520.0,3943300.0,Carson Lake
10-P-2,0.0,0.0,0,0.0,0,0.0,0.0,St. Francis,761620.0,3935704.0,Bell Place
