Site Name,Site Number,Neeley's Ferry Plain,Parkin Punctated,Barton Incised,Ranch Incised,Vernon Paul Applique,Fortune Noded,Manly Punctated,Tyronza Punctated,Bell Plain,Kent Incised,Rhodes Incised,Walls Engraved,Hull Engraved,Mound Place Incised (T),Old Town Red,Carson Red-on-Buff,Nodena Red and White,Avenue Polychrome,Hollywood White Slipped,Wallace Incised,Stokes Bayou Incised,Oliver Incised,Owens Punctated (T),Leland Incised,Blanchard Incised (T),Arcola Incised (T),Sherd Total
Red Oak,13-N-9,12,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Barrett,13-O-1,222,4,15,0,0,0,0,1,75,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,327
Hollywood,13-O-10,671,61,67,2,0,0,0,1,589,6,2,8,0,0,34,8,21,0,16,0,0,0,0,0,0,0,1486
Commerce,13-O-11,655,35,51,0,0,0,0,0,314,14,1,2,1,0,12,0,0,12,0,0,0,0,0,0,0,0,1097
Indian Creek,13-O-12,32,0,6,0,0,0,0,0,33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,73
Green River Plantation,13-O-2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Huber,13-O-3,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
Nickey,13-O-4,450,1,5,0,0,0,0,0,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,519
Belle Meade,13-O-5,370,128,77,3,0,0,0,0,174,32,2,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,798
New Bethel,13-O-6,431,6,24,0,0,0,0,0,15,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,481
Beck,13-O-7,84,32,23,1,0,0,0,0,94,20,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,257
Collins,13-O-9,39,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Walls,13-P-1,627,244,28,16,0,1,0,0,2805,11,14,21,6,1,15,0,0,3,0,0,0,0,1,0,0,0,3793
Irby,13-P-10,125,30,0,12,2,0,0,0,542,15,7,12,1,0,12,0,0,0,0,0,0,0,0,0,0,0,758
Woodlyn,13-P-11,212,73,9,6,0,0,0,0,528,2,3,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,847
Dogwood,13-P-4,28,15,1,2,0,0,0,0,210,2,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,2,272
Shannon,13-P-5,56,2,3,7,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99
Cheatham,13-P-6,25,8,4,1,0,0,0,0,80,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,124
Norfolk,13-P-7,58,18,6,6,0,0,0,0,315,8,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,422
L. Cormorant,13-P-8,232,83,16,18,0,0,0,0,506,8,3,17,3,1,37,0,0,6,0,0,0,0,0,0,0,0,930
Withers,13-P-9,11,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,24
Webster's Camp,14-L-1,112,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121
Bonner,14-M-2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
Broom,14-M-3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
