Site Name,Site Number,Neeley's Ferry Plain,Parkin Punctated,Barton Incised,Ranch Incised,Vernon Paul Applique,Fortune Noded,Manly Punctated,Tyronza Punctated,Bell Plain,Kent Incised,Rhodes Incised,Walls Engraved,Hull Engraved,Mound Place Incised (T),Old Town Red,Carson Red-on-Buff,Nodena Red and White,Avenue Polychrome,Hollywood White Slipped,Wallace Incised,Stokes Bayou Incised,Oliver Incised,Owens Punctated (T),Leland Incised,Blanchard Incised (T),Arcola Incised (T),Sherd Total
Masey,17-L-1/B,106,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,109
Masey,17-L-1/C,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
Poor Place,17-L-3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Wynn,17-L-4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Bear Ridge,17-M-1,185,1,7,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,206
Bush,17-M-11,4122,22,162,0,1,0,0,1,11,4,7,0,0,0,6,1,4,0,0,0,3,2,1,11,0,0,4358
O'Donnell,17-M-12,86,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91
MacGowan,17-M-16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Blanchard,17-M-2,163,1,23,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,2,0,0,4,6,0,210
Merigold,17-N-1,1641,34,65,1,0,0,0,3,79,0,39,1,0,1,9,1,4,0,1,0,9,6,0,4,3,2,1903
Dockery,17-N-11,488,5,20,0,0,0,0,0,11,0,3,0,0,0,3,0,1,0,3,0,1,0,0,0,0,0,535
Long Lake,17-N-12,284,4,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,300
Kimball,17-N-14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Cook,17-N-15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Wilnot,17-N-16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Walford,17-N-2,390,3,17,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,429
Debow,17-N-3,243,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
Penitentiary,17-N-4,119,5,7,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,137
May,17-N-5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Sid Dodd,17-N-6,25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Boyer,17-N-8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Vance,17-N-9,330,8,40,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,391
Buford,17-O-1,434,2,3,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,456
Cassidy Bayou,17-O-11,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Rome,17-O-12,180,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,185
Petty,17-O-3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
King,17-O-5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Jernberg,17-O-6,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Falls,17-O-8,45,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,50
Powell Bayou,17-O-9,1831,65,227,4,1,0,0,3,48,0,2,0,2,0,21,4,4,0,2,0,0,2,1,11,2,0,2230
Tippo Bayou,17-P-1,247,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,251
Cason,17-P-2,1689,2,4,0,0,0,0,0,2,0,0,0,0,3,12,0,0,0,0,0,0,0,0,1,0,0,1713
Medley,18-K-1,57,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,62
Neblett Landing,18-L-1,304,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,313
Neblett Landing,18-L-1/C,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38
Stringtown,18-M-3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
Lipe,18-M-4,757,13,71,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0,0,903
Marlow,18-N-1,397,26,44,0,0,0,0,0,8,2,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,486
Marlow Cemetery,18-N-2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Steiner,18-N-4,236,3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
Boyer,18-N-7,446,6,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,466
Mac Gregor,18-N-8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Eastland,18-N-9,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26
Whaley,18-P-2,218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Winterville,19-L-1,1477,11,15,0,0,0,0,0,170,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,1691
Ely,19-L-3,38,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
Metcalfe,19-L-4,216,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,250
Refuge,19-L-6,304,21,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,616
Leland,19-M-1,7306,83,82,0,0,0,0,0,441,0,0,3,1,0,11,0,2,0,0,0,5,0,0,394,12,54,8394
Sheldon,19-M-2,146,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,166
Stoneville,19-M-3,143,2,9,0,0,0,0,0,36,0,0,0,0,0,1,0,2,0,0,0,0,0,0,30,0,6,229
Holly Knowe,19-M-5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Arcola School,19-M-6,84,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86
Polk,19-M-7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Kinlock,19-N-1,5109,88,51,1,0,1,0,0,165,0,0,0,0,0,2,1,0,0,0,0,0,0,0,144,0,48,5610
Shields,19-N-2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Bay Lake,19-N-3,976,7,6,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1005
Failing,19-N-5,330,4,11,1,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2,372
Lake Dawson,19-N-6,328,3,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,346
Mc Lean,19-O-1,214,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1,0,0,0,0,0,2,0,0,238
Shell Bluff,19-O-2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fleming,19-O-3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
Roebuck,19-P-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Arcola,20-M-1,1900,67,43,1,0,0,0,0,528,0,0,0,0,0,0,0,1,0,0,0,4,0,1,146,0,63,2754
Deer Creek,20-M-2,1046,17,27,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,31,1289
Panther Burn,20-M-3,100,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,124
Lessirdell,20-M-4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Swan Lake,20-M-5,173,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,187
Midnight,20-N-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Summerfield,20-N-2,140,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147
Jaketown,20-O-1,857,15,7,0,0,0,0,0,103,0,0,0,0,0,15,0,10,0,0,0,0,0,0,127,10,13,1157
Belzoni,20-O-2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Lamkin,20-O-3,290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,296
Silver City ,20-O-5,2133,40,59,0,0,0,0,0,90,0,0,2,0,0,9,0,1,0,0,0,0,0,13,235,1,70,2653
