seed,nc_co,nc_tt,fst_co,fst_tt
100,3.0,2.0,0.03200242298613651,0.004600440408711288
101,4.0,3.0,0.03398939381476085,0.008779553344354115
102,4.0,2.0,0.027463113903547397,0.005282714427940041
103,4.0,2.0,0.024537720172138365,0.00997793479540371
104,3.0,2.0,0.041354996071310685,0.003919819798383014
105,4.0,2.0,0.028697568234551697,0.004820488573951324
106,3.0,2.0,0.017767238034537048,0.006508793233932928
107,4.0,2.0,0.05425908998357511,0.003915332104575614
108,3.0,3.0,0.026750919067953377,0.00957274632402792
109,4.0,2.0,0.031293360708348296,0.004447477712519432
110,3.0,2.0,0.01606710217128258,0.007702519135632855
111,3.0,2.0,0.02241163668353909,0.007271777918287258
112,3.0,2.0,0.018875556318079093,0.005262812945726362
113,4.0,2.0,0.04277126879838162,0.005672510640773051
114,3.0,2.0,0.019865829023244474,0.005450271589800134
115,3.0,2.0,0.023106877444799508,0.009312610420411134
116,3.0,2.0,0.018601397556089968,0.004321805620310426
117,4.0,2.0,0.029300669470174137,0.004986861429712008
118,3.0,2.0,0.02548604987767569,0.006815788022840211
119,4.0,2.0,0.022547724185899228,0.005091749856954651
120,3.0,3.0,0.031415418359432845,0.00881245137867558
121,4.0,3.0,0.036653456649659695,0.00925103672957396
122,3.0,2.0,0.03300803095299595,0.007182279407614842
123,4.0,3.0,0.02592135208736186,0.01193233824892609
124,4.0,2.0,0.043365245550578274,0.0056509163414902325
125,4.0,2.0,0.025341887070959815,0.006048372084522016
126,3.0,2.0,0.019301750019840296,0.008561385793859087
127,3.0,2.0,0.041474479223243876,0.006089028293619826
128,3.0,2.0,0.026920935915174755,0.00518285863402339
129,3.0,2.0,0.026446803766835916,0.0037578860721241784
130,3.0,2.0,0.02565932315599689,0.005154160144526959
131,3.0,2.0,0.02158562466302991,0.008198065700338694
132,4.0,2.0,0.024801582568042456,0.006252604035433991
133,3.0,2.0,0.02840984056633994,0.0053217537370758615
134,3.0,2.0,0.022747965316261495,0.005474436899298398
135,4.0,2.0,0.03382514850933532,0.004118277127628282
136,3.0,2.0,0.018719673169179784,0.006292293891712681
137,3.0,3.0,0.027424850843263942,0.006197817706823567
138,3.0,2.0,0.017124512300745298,0.005098238053583568
139,3.0,2.0,0.017066408043405007,0.005275407137992329
140,3.0,2.0,0.019351303594675746,0.006923809422735448
141,3.0,2.0,0.02179443909926414,0.00662409876542582
142,3.0,2.0,0.02343639740636276,0.006004181021123963
143,3.0,2.0,0.01757607597423582,0.004958293620718288
144,3.0,2.0,0.03558404827664399,0.005532189280755817
145,4.0,2.0,0.026671220040145993,0.005736173407188924
146,3.0,2.0,0.03192380045295143,0.0069464968136024536
147,3.0,2.0,0.009959536223770233,0.005454708535967521
148,3.0,2.0,0.02285055027128288,0.0058490815392543355
149,3.0,3.0,0.020405964307496152,0.010036894526426664
150,3.0,2.0,0.017470747185246733,0.0065704445936971625
151,3.0,2.0,0.01780563245238296,0.004996414169201587
152,3.0,2.0,0.025474701983678946,0.005919333737441309
153,3.0,2.0,0.017365581752064475,0.004772440691738681
154,3.0,2.0,0.019277019351297244,0.007122104625847506
155,3.0,3.0,0.02119780357068612,0.01407107253891067
156,3.0,2.0,0.020102042732527314,0.007670857658034196
157,4.0,3.0,0.029991930520666284,0.010174565561782438
158,3.0,2.0,0.02044230134821756,0.004576006023343433
159,3.0,2.0,0.019608900409336404,0.008468924044530347
160,3.0,2.0,0.0202354145304814,0.005337117170751375
161,3.0,2.0,0.021646746256568098,0.005783907948724215
162,4.0,2.0,0.022833227031716388,0.006075614361545899
163,3.0,2.0,0.02284495410507802,0.004344097717105244
164,3.0,2.0,0.022903087369684983,0.006960504274353208
165,4.0,2.0,0.02594249883791449,0.005816012528217988
166,3.0,2.0,0.02160664460959388,0.006391979232330892
167,3.0,2.0,0.018118569355711503,0.004739574613660269
168,3.0,2.0,0.016548311323654218,0.008595785915239799
169,4.0,2.0,0.024566579657243487,0.005035344748517618
170,4.0,2.0,0.025232692548076703,0.004815382648579203
171,2.0,2.0,0.012087291114239678,0.009635068911679657
172,4.0,2.0,0.024541919626253243,0.006325502429891109
173,3.0,2.0,0.019078830200993182,0.005093364835083265
174,4.0,2.0,0.02717171349744546,0.006422304520295795
