seed,nc,fst_tt,fst_co,rho
0,2.0,0.011217912291849125,0.029034564520005194,0.6179529282977558
1,2.0,0.014460473877346442,0.04813772832048934,0.6097427476737821
2,2.0,0.010550292950376619,0.054343069449979416,0.5506294471811713
3,2.0,0.017171980336617685,0.026185800917027047,0.6579091406677614
4,2.0,0.009721790594006609,0.013577465851416655,0.6179529282977558
5,2.0,0.014959241902980737,0.030458738543543105,0.48494800218938144
6,2.0,0.010526654806154761,0.015359243169108552,0.8461959496442255
7,3.0,0.019931615371252213,0.01890895150004934,0.6239737274220033
8,2.0,0.007584333829716998,0.02391136098347369,0.8412698412698413
9,2.0,0.012959658685336741,0.05119138783094618,0.7126436781609196
10,3.0,0.023911251028233372,0.014171785807614364,0.3760262725779967
11,2.0,0.01451879743355909,0.017059245751924274,0.6327312534209085
12,2.0,0.01469905858369418,0.033329586663846875,0.5987958401751505
13,2.0,0.01099639811509461,0.02112692818507684,0.6097427476737821
14,2.0,0.018994320699180178,0.06015942440707025,0.5692391899288451
15,2.0,0.010693350359843439,0.02817229914575336,0.42090859332238645
16,2.0,0.011954364078877186,0.015339747328361445,0.3185550082101806
17,2.0,0.0098986661976294,0.02704134397303328,0.5139573070607554
18,2.0,0.007727443584002396,0.024448987857500236,0.5949644225506295
19,2.0,0.01373967457261366,0.027853072441843613,0.46852764094143406
20,3.0,0.014791750036448593,0.027763335355596566,0.37164750957854403
21,2.0,0.01456240092211293,0.030944912336987488,0.2983032293377121
22,2.0,0.009524653284065068,0.04570784910495103,0.7334428024083197
23,2.0,0.010409864701769325,0.02694890458674078,0.7717569786535304
24,2.0,0.019732611291858854,0.02843861431944896,0.44991789819376027
25,2.0,0.010514765418964664,0.03401803744343665,0.294471811713191
26,3.0,0.020952752633663793,0.021996782733911747,0.7651888341543513
27,2.0,0.008081755129587394,0.022118845179278056,0.7389162561576355
28,2.0,0.010288174787938777,0.023095587616194905,0.3995621237000547
29,2.0,0.012931664657461235,0.03795082231432462,0.5561029009304871
30,2.0,0.016939088430665872,0.030414233257206835,0.6579091406677614
31,2.0,0.012725846108169372,0.04094368565677725,0.4740010946907498
32,2.0,0.013768918007961898,0.043313274890472514,0.4712643678160919
33,2.0,0.015274540331431377,0.009070667037435871,0.6278051450465244
34,2.0,0.013520422027162814,0.02403089004308608,0.6677613574165299
35,2.0,0.012916277491405942,0.03619031471750085,0.5281882868089764
36,2.0,0.0063190989105139156,0.014459172868576465,0.00875752599890531
37,2.0,0.014721007535926247,0.03361197212996904,0.5188834154351395
38,2.0,0.010420991989654545,0.020172032830166393,0.6863711001642036
39,3.0,0.022927010142395555,0.015027869174386251,0.5062944718117133
40,2.0,0.012546651467126673,0.017400961532492893,0.12260536398467432
41,2.0,0.012470888651075516,0.03379807171424166,0.6064586754241927
42,2.0,0.016634318332683334,0.05501219137131515,0.6721401204159826
43,2.0,0.010321023310030911,0.032809666942831224,0.49425287356321834
44,2.0,0.012732941401296802,0.05194119967410602,0.632183908045977
45,2.0,0.007979962964414809,0.02184674305241898,0.451559934318555
46,2.0,0.011876269515519082,0.017412218845762526,0.6622879036672139
47,2.0,0.013567734473122484,0.022683815629932304,0.5478927203065133
48,3.0,0.01931788090958756,0.02337238028091484,0.7887246852764094
49,2.0,0.0070141968330845695,0.029038898158666313,0.655719759168035
50,2.0,0.008840451678449457,0.021300183163184563,0.3672687465790914
51,2.0,0.011254647293918415,0.019633818480033358,0.42090859332238645
52,2.0,0.01879621923555563,0.032236979262528116,0.5019157088122606
53,2.0,0.016944870368007625,0.030872914876688647,0.6540777230432404
54,2.0,0.01622660095755872,0.022470559494175937,0.7400109469074986
55,2.0,0.013098707339507278,0.02971773545631684,0.5571975916803502
56,2.0,0.017234264135400724,0.0375857914264662,0.588943623426382
57,2.0,0.012721971986647708,0.024338989501101593,0.6414887794198139
58,2.0,0.012508372444786451,0.019312021150352868,0.5041050903119868
59,2.0,0.017166421046086528,0.014606616669411557,0.6409414340448822
60,2.0,0.014290945578703022,0.03866986434658948,0.3459222769567597
61,3.0,0.016909441979580775,0.026822032079238046,0.7049808429118773
62,2.0,0.01088625705830053,0.026043928330092513,0.5610290093048714
63,2.0,0.016136531186451333,0.015954990644081124,0.7246852764094143
64,2.0,0.012412814276565777,0.0228425975404446,0.7936507936507936
65,2.0,0.015176454960069752,0.017960229478666337,0.3552271483305966
66,3.0,0.013442009780049509,0.01058739395776508,0.588943623426382
67,3.0,0.02166831180402148,0.028026826244891192,0.4926108374384236
68,3.0,0.018874095061832744,0.011251026957023113,0.1647509578544061
69,2.0,0.011554132015285974,0.0249308434385698,0.4860426929392446
70,2.0,0.014402460166863798,0.03191254301462007,0.5123152709359605
71,3.0,0.021898260241568327,0.03334685315545485,0.5911330049261083
72,2.0,0.014395798580390572,0.01859215703823249,0.5128626163108921
73,2.0,0.011107973317127888,0.03421204179803126,0.25889436234263824
74,2.0,0.011331490926161593,0.015928974093962163,0.7378215654077723
75,2.0,0.011738423674725846,0.02757440663056245,0.7088122605363985
76,2.0,0.01951070009950525,0.03044929500856036,0.5725232621784346
77,2.0,0.012653741705979334,0.028642039973095428,0.5155993431855501
78,3.0,0.015515090619184161,0.013855769790665334,0.6677613574165299
79,3.0,0.016682181184899232,0.026299718812185985,0.7120963327859879
80,2.0,0.017113110234459463,0.023598188302328467,0.3634373289545703
81,2.0,0.013107714530287565,0.03668754096265859,0.7208538587848933
82,2.0,0.013150330722475402,0.038860135739301346,0.5068418171866448
83,2.0,0.01351922740781969,0.022768909978138786,0.6513409961685823
84,2.0,0.016617126516984538,0.04378373739169107,0.7777777777777778
85,3.0,0.014710593365231955,0.05318521631399738,0.6787082649151615
86,3.0,0.019146245979839792,0.04870197273099126,0.5057471264367817
87,2.0,0.013994565236442633,0.028685801735941395,0.4980842911877395
88,2.0,0.010900925685284038,0.023256614569451946,0.5232621784345922
89,2.0,0.009885971494790454,0.033051575299818246,0.3448275862068966
90,2.0,0.016552811854456694,0.028443047177462072,0.50519978106185
91,2.0,0.010309920316851219,0.02813255045904633,0.7504105090311987
92,2.0,0.01434658987444191,0.03789547222116869,0.5840175150519978
93,2.0,0.014437221177891304,0.03040941017698252,0.3946360153256705
94,2.0,0.01491460628812328,0.030712990108905915,0.6420361247947455
95,2.0,0.007470882181268784,0.025031196261311485,0.749863163656267
96,2.0,0.012867180746821801,0.0320794482563199,0.5670498084291188
97,2.0,0.012047925611220093,0.03527142443917517,0.6863711001642036
98,2.0,0.011978367124191251,0.03843245856973584,0.6392993979200876
99,2.0,0.011052750942998804,0.0294032373910148,0.4761904761904762
100,2.0,0.011827680560743396,0.03277729453687572,0.6037219485495348
101,2.0,0.015565771731034708,0.028868794675120865,0.4904214559386973
102,2.0,0.01573047685686241,0.02446344510787592,0.47290640394088673
103,2.0,0.011418705828187424,0.023534400478037443,0.3196496989600438
104,2.0,0.010952856488982284,0.03300962239302569,0.8418171866447729
105,2.0,0.010317305175781222,0.04035610105944486,0.5692391899288451
106,2.0,0.0167811396791183,0.023368536388654028,0.6179529282977558
107,2.0,0.011391039735934113,0.03215154705584898,0.6272577996715927
108,2.0,0.010243954962662468,0.04148461329287063,0.7224958949096879
109,2.0,0.012805907561711646,0.021078535182453506,0.8237547892720307
110,3.0,0.020994830728311323,0.03943177324638567,0.4187192118226601
111,2.0,0.015129116082737228,0.025080747563419957,0.6403940886699507
112,2.0,0.014218590116936743,0.017481209403695682,0.7750410509031198
113,2.0,0.015097262090579803,0.03691912260324487,0.6102900930487137
114,2.0,0.008311408425312543,0.011488552410886293,0.45867542419266555
115,2.0,0.013178594251851292,0.023834360522953613,0.599343185550082
116,2.0,0.01620362169898646,0.02943693671861715,0.5013683634373289
117,2.0,0.017091141902327266,0.03366742696401698,0.6502463054187192
118,2.0,0.01738864789659208,0.023042270552384867,0.4778325123152709
119,2.0,0.011976632586398934,0.0198010608096844,0.5374931581828133
120,2.0,0.018354176733824872,0.03036414148342714,0.7274220032840722
