len_km,mix,mu,seed,ncom,fst,rho
12.0000,0.0500,0.0120,11,2,0.014213,0.742200
12.0000,0.0500,0.0240,0,2,0.007996,0.506842
12.0000,0.0500,0.0240,1,2,0.011808,0.357417
12.0000,0.0500,0.0240,2,2,0.009365,0.383142
12.0000,0.0500,0.0240,3,2,0.007128,0.502463
12.0000,0.0500,0.0240,4,2,0.004646,0.403941
12.0000,0.0500,0.0240,5,2,0.007229,0.205802
12.0000,0.0500,0.0240,6,2,0.007066,0.482211
12.0000,0.0500,0.0240,7,2,0.009013,0.156541
12.0000,0.0500,0.0240,8,2,0.007278,0.395183
12.0000,0.0500,0.0240,9,2,0.008467,0.629447
12.0000,0.0500,0.0240,10,2,0.011104,0.445539
12.0000,0.0500,0.0240,11,2,0.004520,0.226054
18.0000,0.0100,0.0060,0,2,0.027123,0.766284
18.0000,0.0100,0.0060,1,2,0.025587,0.701697
18.0000,0.0100,0.0060,2,3,0.038268,0.801314
18.0000,0.0100,0.0060,3,3,0.055256,0.828134
18.0000,0.0100,0.0060,4,3,0.030865,0.659551
18.0000,0.0100,0.0060,5,2,0.020889,0.358511
18.0000,0.0100,0.0060,6,3,0.047363,0.582923
18.0000,0.0100,0.0060,7,2,0.031790,0.709360
18.0000,0.0100,0.0060,8,3,0.057039,0.682540
18.0000,0.0100,0.0060,9,2,0.031705,0.614669
18.0000,0.0100,0.0060,10,3,0.041226,0.568144
18.0000,0.0100,0.0060,11,3,0.049063,0.888342
18.0000,0.0100,0.0120,0,2,0.015027,0.457033
18.0000,0.0100,0.0120,1,2,0.012268,0.366174
18.0000,0.0100,0.0120,2,3,0.026896,0.539683
18.0000,0.0100,0.0120,3,2,0.016147,0.582923
18.0000,0.0100,0.0120,4,3,0.018421,0.544609
18.0000,0.0100,0.0120,5,2,0.013850,0.524904
18.0000,0.0100,0.0120,6,2,0.012188,0.823207
18.0000,0.0100,0.0120,7,2,0.014090,0.836891
18.0000,0.0100,0.0120,8,2,0.006067,0.648057
