leak,strength,rep,phase_fst,spatial_fst,be_phase,hs,rich,ht
1.0,0.0,0,0.005057025953927258,0.0027940179457758532,4.129411534042703,0.5756497487050227,6.071428571428571,0.5930769711600841
1.0,0.0,1,0.0014618349898062562,0.0007001262569002025,-4.884790038594858,0.5588638675929006,5.821428571428571,0.563931294067582
1.0,0.0,2,0.012886111919672729,0.0004907103153673027,1.8648519788775175,0.5652093152174001,6.035714285714286,0.574424629802399
1.0,0.0,3,0.0030721287882288007,0.001227379367539457,3.3116300699784844,0.5731919244838475,6.142857142857143,0.5886946040112282
1.0,0.0,4,0.00439352802640408,0.002645867500359288,4.652204853270142,0.5598210093636664,5.678571428571429,0.5686507393013478
1.0,0.0,5,0.014989238350424542,0.014567774915078723,4.455841804745731,0.5605576172453881,5.678571428571429,0.5570613566353881
1.0,0.0,6,0.001291683238998507,0.00018198376701981315,-0.5713802796093432,0.5418641829342123,5.25,0.5690738571910535
1.0,0.0,7,0.0030896528865219136,0.0008042684720414011,-4.222083731945354,0.5866780055863635,5.964285714285714,0.5837496588495086
1.0,0.0,8,0.006627487813637182,0.004256212846994402,-0.34178856150653303,0.5695433557909484,5.607142857142857,0.5919600731048658
1.0,0.0,9,0.003439751678920248,0.002112948758168666,-2.1760119739549566,0.5653898534467874,6.035714285714286,0.587929992386121
1.0,0.0,10,0.001685923611306594,0.0013877119985716254,1.8337138801212305,0.5495397016133283,5.642857142857143,0.5543797190158646
1.0,0.0,11,0.006026246708751145,0.00407727161747556,5.628936386028755,0.5625106444440868,5.321428571428571,0.5794552426070281
1.0,0.0,12,0.0048743122399309505,0.0013346549069219449,1.1146560942860617,0.5716361162844842,5.25,0.5828053131500621
1.0,0.0,13,0.0045784394770746195,0.0021012319159495435,1.5381269445771935,0.5468492760122726,5.857142857142857,0.5701751043301785
1.0,0.0,14,0.00770434965733906,0.0052016242247854005,2.3082982822321014,0.5779109626284396,5.321428571428571,0.5900043120989613
1.0,0.0,15,0.004236187711393745,0.002450351544167875,0.026066863957723285,0.558770947450425,5.607142857142857,0.5731717518405832
1.0,0.0,16,0.004498097330682719,0.003943256600582111,-2.1184108188191715,0.5690121244191269,5.678571428571429,0.5610430563088831
1.0,0.0,17,0.003090607850105181,0.0016771714226816805,0.6518228094077116,0.5761888395150999,6.035714285714286,0.6137760620757176
1.0,0.0,18,0.005589435278819245,0.003770949564655124,-0.31473193268131894,0.5609656210125245,5.928571428571429,0.5700262999261394
1.0,0.0,19,0.004202641984311804,0.003548225712930633,-2.4008463380801714,0.549755434978365,6.035714285714286,0.5963705837390874
1.0,0.0,20,0.004600377207662162,0.0033103955640681826,-8.087735248490347,0.5920540926635792,6.25,0.6374548218729861
1.0,0.0,21,0.005903240958386367,0.004231654922004224,-15.39856771874761,0.5322740154260166,5.642857142857143,0.5759729137762617
1.0,0.0,22,0.0061209767323172175,0.005758486196946681,-1.534090364903669,0.5703076810427928,5.571428571428571,0.5601488418213962
1.0,0.0,23,0.003938243143696962,0.002245338599060389,0.7670252095466168,0.5829473556689994,5.357142857142857,0.5977331388147089
1.0,0.0,24,0.006847508942024775,0.005482001931055033,-3.075559732665596,0.5819145356245645,5.428571428571429,0.6124387838330925
1.0,0.0,25,0.0016091522861650122,0.0011534873914215108,-1.5869359245115717,0.5824026200527671,6.142857142857143,0.6002762215697175
1.0,0.0,26,0.00670250442041444,0.006167204188412257,2.2698662218738406,0.5753793727037412,6.214285714285714,0.6107079594830975
1.0,0.0,27,0.00441733629600937,0.002689977027353102,2.8171762542999446,0.5833374627743825,5.714285714285714,0.5962748777836708
1.0,0.0,28,0.0026005655492304593,0.0007436782152188043,-8.317174735975144,0.5690633787108131,5.928571428571429,0.6075986374469362
