leak,strength,rep,phase_fst,spatial_fst,be_phase,parkin_fst,be_parkin,hs,rich,ht
1.0,0.0,0,0.007700078072039681,0.004377486753035912,2.266558494388434,0.004377486753035912,-0.595347258298581,0.5663916783709367,5.357142857142857,0.5729020551739955
1.0,0.0,1,0.003935214502195666,0.0010991052886298348,3.867348416667589,0.0010991052886298348,0.883492956393539,0.5559152661808235,6.607142857142857,0.5806935358462633
1.0,0.0,2,0.013276913780828329,0.006674294225333916,4.848810667329552,0.006674294225333916,-0.5751873262461302,0.546133808989875,5.571428571428571,0.5500058411813935
1.0,0.0,3,0.0008388149041873755,0.00032420446965623656,1.3888729155613788,0.00032420446965623656,1.4757664132617947,0.5735735078102607,6.535714285714286,0.5820141975635758
1.0,0.0,4,0.0007901027307552733,0.000255190439509011,2.915683953665358,0.000255190439509011,-0.6853903707885678,0.6049358357187715,5.785714285714286,0.6097166610353713
1.0,0.0,5,0.003119569034154273,0.003035299178770847,2.498202816442422,0.003035299178770847,3.388925041313996,0.6034862755377022,5.785714285714286,0.598432541642237
1.0,0.0,6,0.004319458674694194,0.002396621601984406,3.1019279402781734,0.002396621601984406,-3.5616525221640742,0.58152683998485,5.071428571428571,0.5827554233404073
1.0,0.0,7,0.004643256005116494,0.0028149258013793863,5.6267155124254415,0.0028149258013793863,0.7025872246762717,0.5989462097400459,6.0,0.598045312228509
1.0,0.0,8,0.00631503323718038,0.0038240644360832245,-2.974564915705642,0.0038240644360832245,-1.575359251778515,0.553461874383471,6.071428571428571,0.5720190457768224
1.0,0.0,9,0.0033864127395769163,0.00452173264908141,1.6820737417012666,0.00452173264908141,0.3701893962811482,0.5763732220426402,6.214285714285714,0.5921690470333716
1.0,0.0,10,0.006219643704997827,0.003017202318035216,2.799491708252802,0.003017202318035216,1.8041347461056105,0.5663060997698063,7.214285714285714,0.5868251443292831
1.0,0.0,11,0.005300737827111357,0.0008360462849943605,1.1266275558698808,0.0008360462849943605,1.237875989429142,0.5496227550006502,5.071428571428571,0.5509590382986818
1.0,0.0,12,0.009724518798209547,0.010120979999193942,1.613361111550617,0.010120979999193942,4.513657897462167,0.5775441345427927,6.0,0.584843633744202
1.0,0.0,13,0.003207406576482067,0.0035042274236971884,-2.638320711959878,0.0035042274236971884,-6.902245877357672,0.5883315363314602,6.392857142857143,0.5986962334264934
1.0,0.0,14,0.004224850088996961,0.001048828866650186,-0.6303830300044666,0.001048828866650186,-2.089021900417592,0.5373589062177698,6.178571428571429,0.559648847356047
1.0,0.0,15,0.0011145681938631838,0.0016381301830087232,-0.6720618581972531,0.0016381301830087232,-0.3072114632306011,0.6197377590568868,5.785714285714286,0.6296492493411767
1.0,0.0,16,0.0033311412425893693,0.003185746298807999,2.0376721862529408,0.003185746298807999,-0.3451027487174443,0.5863946517254119,5.821428571428571,0.5997755230143125
1.0,0.0,17,0.003557384774928029,0.006606489450957132,-0.49450330302205003,0.006606489450957132,5.591177653272929,0.5258592143916673,6.285714285714286,0.5414669487982341
1.0,0.0,18,0.006833635237087317,0.006110368308802354,0.5090676431584313,0.006110368308802354,0.18102916609429798,0.5211877480685752,6.035714285714286,0.5428540062077911
1.0,0.0,19,0.000889392524883439,0.0008913616868818067,-0.7500946842483529,0.0008913616868818067,-2.4649392082753394,0.5364630237579838,5.357142857142857,0.5510397672527725
1.0,0.0,20,0.0014507682539132308,0.0012553205454941105,-0.7001885455061654,0.0012553205454941105,0.6354680557643491,0.574064114999542,5.857142857142857,0.5869597059973399
1.0,0.0,21,0.004943695347502841,0.004150543870835916,3.404563468131421,0.004150543870835916,3.0604551242889215,0.6220667011073356,7.107142857142857,0.6328985243635351
1.0,0.0,22,0.006758354278926742,0.00647437304513444,0.8311644887506802,0.00647437304513444,-1.0166276749940337,0.5619084515112677,6.142857142857143,0.5843400283027103
1.0,0.0,23,0.008598558254238355,0.0027012508988239893,4.821673498774267,0.0027012508988239893,-0.32973624859599227,0.5682658809090747,5.535714285714286,0.5741190748351219
1.0,0.0,24,0.003449062048534352,0.0012872650158662294,1.5299261336145378,0.0012872650158662294,-0.2276594976372337,0.6222633933387922,5.428571428571429,0.6203437537638958
1.0,0.0,25,0.002200281967932497,0.00021714550812542183,-1.276550499819109,0.00021714550812542183,-1.5162182294024547,0.5787188871823394,5.464285714285714,0.5887019969568121
1.0,0.0,26,0.014136068015481403,0.010490542524123106,9.867630226637814,0.010490542524123106,8.979071269532973,0.5669820958447855,5.535714285714286,0.5820055372558917
1.0,0.0,27,0.004519606208210227,0.0019852740166926798,4.395545005752929,0.0019852740166926798,7.2728264083322,0.6083866202285098,6.75,0.6323313898821685
1.0,0.0,28,0.0016230470656606194,0.002881782265091247,-3.1089068094904277,0.002881782265091247,-1.5153483072597496,0.5734247750682341,5.714285714285714,0.5961293725444639
1.0,0.0,29,0.0017131380848718542,0.002630974840976461,2.1488891762117817,0.002630974840976461,0.5096720417300347,0.587144916953082,6.0,0.593132966436364
1.0,0.0,30,0.005534166069110145,0.00539599377011283,1.5378692888772747,0.00539599377011283,1.5415111093672493,0.6098327762190252,5.535714285714286,0.6408239430812392
1.0,0.0,31,0.003239374632417931,0.0035114388082049942,1.0623324515397528,0.0035114388082049942,1.9935851180773554,0.60404137650748,6.214285714285714,0.6069752260532673
1.0,0.0,32,0.0018932807955401652,0.00010452480962815496,-3.7632447352734175,0.00010452480962815496,-2.9538947605680193,0.577373009766349,5.928571428571429,0.5726120807138062
1.0,0.0,33,0.004000474773895928,0.0008747021361212631,3.3406294290687057,0.0008747021361212631,-1.5892647938635847,0.6003271624191121,5.857142857142857,0.6313495765333342
1.0,0.0,34,0.005107109177076143,0.004652580292142449,0.5655462946708596,0.004652580292142449,-3.635283255225005,0.5238630562927942,4.928571428571429,0.5407349868348488
1.0,0.0,35,0.003224135871716282,0.0015764348503530875,-0.0498448258478561,0.0015764348503530875,3.8533275757319316,0.6070005155567373,6.25,0.6052925916383645
1.0,0.0,36,0.006445619980159712,0.003986887991329666,2.365954512094106,0.003986887991329666,3.694669472237912,0.6455472289375097,6.392857142857143,0.661253860368612
