ensemble,fst,inertia_km2,ari_with_phases
random_boundary,0.015689433179952292,277.4180467709069,
random_boundary,0.01936668186564888,264.73454744501316,
random_boundary,0.012644678685911126,193.40934689153482,
random_boundary,0.008790412549255248,257.8830326820556,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.014938619015814843,250.9925486210838,
random_boundary,0.019333035972367706,258.1603074976528,
random_boundary,0.024959159082374952,267.05570241230674,
random_boundary,0.014437855842495803,269.2490246275973,
random_boundary,0.017295280643021656,487.2166524906309,
random_boundary,0.02143521730834274,262.2034711447037,
random_boundary,0.023067078502976002,251.82672674654125,
random_boundary,0.007809860335156476,196.21383414485163,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.015689433179952292,277.4180467709069,
random_boundary,0.014804754628162045,478.4817085471189,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.015557177472770294,227.7277782299018,
random_boundary,0.013275042500573002,420.8273853714368,
random_boundary,0.010148346583605937,227.99771487486709,
random_boundary,0.014302052451155567,269.2464823283753,
random_boundary,0.008781848537522749,586.4285197887876,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.013543902254859531,230.40289221764633,
random_boundary,0.018915886986290435,268.71872467459946,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.009692526297831563,457.6012434299961,
random_boundary,0.010564679848726262,440.4724401887324,
random_boundary,0.014437855842495803,269.2490246275973,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.008915994234075597,548.9507685177342,
random_boundary,0.021870473223349757,266.9873756566217,
random_boundary,0.021870473223349757,266.9873756566217,
random_boundary,0.028130548417267802,274.53670023441845,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.010148346583605937,227.99771487486709,
random_boundary,0.011379852875161744,286.0416534472914,
random_boundary,0.024959159082374952,267.05570241230674,
random_boundary,0.018173396011332624,451.9739243165246,
random_boundary,0.019576572480941513,285.22068498360704,
random_boundary,0.013374693297617509,326.3759226651845,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.018085015684421866,247.29502766238122,
random_boundary,0.008185999656597286,348.9475983105132,
random_boundary,0.013905756443348833,296.57070166676084,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.023994777789332913,294.7577496870798,
random_boundary,0.025903439958394277,302.24039126549576,
random_boundary,0.004909016657821869,603.5478672589337,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.022566432374149317,437.35067215596257,
random_boundary,0.017101635294070952,254.13201834017292,
random_boundary,0.012561928999939652,296.69565845690437,
random_boundary,0.01725514946247172,281.5629966842608,
random_boundary,0.012842560374778112,237.41682278777347,
random_boundary,0.013776243578599745,195.24222796129015,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.02143521730834274,262.2034711447037,
random_boundary,0.014423419886482571,291.5199620107159,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.015093373820551417,269.3053907253432,
random_boundary,0.024959159082374952,267.05570241230674,
random_boundary,0.010148346583605937,227.99771487486709,
random_boundary,0.012644678685911126,193.40934689153482,
random_boundary,0.009649103107960239,541.3037166310454,
random_boundary,0.015236341695636538,274.6247833122219,
random_boundary,0.015204215670323361,293.1037960112006,
random_boundary,0.013068708501115904,276.19942784004525,
random_boundary,0.018691961240634363,551.8419704227425,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.0164748821395031,285.5125085120066,
random_boundary,0.015419671256715548,293.6103323661363,
random_boundary,0.011373817151834924,728.7363561861384,
random_boundary,0.020999872917886582,258.4973953404051,
random_boundary,0.010163797875487619,261.6991252707846,
random_boundary,0.016874387940677155,204.8681089482487,
random_boundary,0.01627844250591937,450.6574160739813,
random_boundary,0.00979821361928094,291.8159686547636,
random_boundary,0.007483757492225445,703.7696676142849,
random_boundary,0.010836403542875083,193.85021615738165,
random_boundary,0.012857361380308414,291.33520551647104,
random_boundary,0.011703542346796157,283.11860236519357,
random_boundary,0.007809860335156476,196.21383414485163,
random_boundary,0.015040482312211854,276.8552046858732,
random_boundary,0.012310516741891679,648.9949103884107,
random_boundary,0.011379852875161744,286.0416534472914,
random_boundary,0.019743228921277025,261.8468020482628,
random_boundary,0.01953054570368244,288.326667226335,
random_boundary,0.014202819488398886,319.5250671183527,
random_boundary,0.015204215670323361,293.1037960112006,
random_boundary,0.01610945578628045,360.6605033404513,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.024120220647130597,290.5372382879076,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.01047053768625785,274.9236315993475,
random_boundary,0.014394273484764885,272.7852823485465,
random_boundary,0.013132874417240373,271.0838854774916,
random_boundary,0.010163797875487619,261.6991252707846,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.013661491920876666,337.4169382575715,
random_boundary,0.01936668186564888,264.73454744501316,
random_boundary,0.023450459823503352,263.9963230265631,
random_boundary,0.005247659351128459,451.1188305815329,
random_boundary,0.008941124783671907,395.10106961945786,
random_boundary,0.01173755219562544,243.43429593618458,
random_boundary,0.010946819008185801,266.4936059776761,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.020438413834605474,298.6796853187821,
random_boundary,0.013132874417240373,271.0838854774916,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.014567090635289739,277.8675075865373,
random_boundary,0.017101635294070952,254.13201834017292,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.014938619015814843,250.9925486210838,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.026956422127646158,288.84870991399555,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.022795892768530456,345.1799025458525,
random_boundary,0.014567090635289739,277.8675075865373,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.018056760471575273,255.43505475560116,
random_boundary,0.017101635294070952,254.13201834017292,
random_boundary,0.010922519220497126,576.9107006942558,
random_boundary,0.010836403542875083,193.85021615738165,
random_boundary,0.007809860335156476,196.21383414485163,
random_boundary,0.029312598609157862,299.97013309624475,
random_boundary,0.016273704003051403,282.7263022772307,
random_boundary,0.01109104870503666,228.06923487472253,
random_boundary,0.015146574286678515,285.19975996861575,
random_boundary,0.021870473223349757,266.9873756566217,
random_boundary,0.019918478744626586,301.83495775822996,
random_boundary,0.016581022650920072,570.9998479378435,
random_boundary,0.01198024017873101,264.25182771393264,
random_boundary,0.018704522514871626,312.83938632836373,
random_boundary,0.014437855842495803,269.2490246275973,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.015093373820551417,269.3053907253432,
random_boundary,0.020999872917886582,258.4973953404051,
random_boundary,0.00593472058378848,302.0557326648781,
random_boundary,0.010836403542875083,193.85021615738165,
random_boundary,0.00593472058378848,302.0557326648781,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.010425768813487701,317.51360257613896,
random_boundary,0.023729713080567198,241.75647834655214,
random_boundary,0.022285899939580862,241.7956969017303,
random_boundary,0.01976528366682666,258.737932888509,
random_boundary,0.010946819008185801,266.4936059776761,
random_boundary,0.018630767052706824,276.7089395030199,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.0165941049815155,234.64451108193816,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.019333035972367706,258.1603074976528,
random_boundary,0.02026378037574849,377.09659848396046,
random_boundary,0.019918478744626586,301.83495775822996,
random_boundary,0.01473839203168617,280.2267218556087,
random_boundary,0.01936668186564888,264.73454744501316,
random_boundary,0.01343010837451601,309.14128386053187,
random_boundary,0.016874387940677155,204.8681089482487,
random_boundary,0.015132720169158143,252.70502140072924,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.009737494076548711,501.24429180395157,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.01976528366682666,258.737932888509,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.011936824458491771,268.78437728970056,
random_boundary,0.014437855842495803,269.2490246275973,
random_boundary,0.015818063175243355,431.27651975022366,
random_boundary,0.018113359291091476,272.3215714399308,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.028130548417267802,274.53670023441845,
random_boundary,0.008366655537882474,373.6524342049383,
random_boundary,0.007605267331773983,508.34332352165313,
random_boundary,0.02143521730834274,262.2034711447037,
random_boundary,0.00865040449662371,350.7747255859222,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.015836550813929103,233.94296896021407,
random_boundary,0.015093373820551417,269.3053907253432,
random_boundary,0.012316265736307026,347.1277658114801,
random_boundary,0.021870473223349757,266.9873756566217,
random_boundary,0.018996102910268785,281.74769947721734,
random_boundary,0.028130548417267802,274.53670023441845,
random_boundary,0.020438413834605474,298.6796853187821,
random_boundary,0.02074354591697648,294.9766971929779,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.01953054570368244,288.326667226335,
random_boundary,0.0164748821395031,285.5125085120066,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.01976528366682666,258.737932888509,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.018630767052706824,276.7089395030199,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.00979821361928094,291.8159686547636,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.015419671256715548,293.6103323661363,
random_boundary,0.011936824458491771,268.78437728970056,
random_boundary,0.014567090635289739,277.8675075865373,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.012842560374778112,237.41682278777347,
random_boundary,0.008297985393111624,267.7797955357446,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.018085015684421866,247.29502766238122,
random_boundary,0.015334949368167396,312.13050286785256,
random_boundary,0.0164748821395031,285.5125085120066,
random_boundary,0.014490237228012768,234.56445839844838,
random_boundary,0.015040482312211854,276.8552046858732,
random_boundary,0.010653811598233885,397.0916913219664,
random_boundary,0.012842560374778112,237.41682278777347,
random_boundary,0.018521268919461466,319.92471835064504,
random_boundary,0.029312598609157862,299.97013309624475,
random_boundary,0.013068708501115904,276.19942784004525,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.023114215533862722,222.39065798262945,
random_boundary,0.02286390853143473,285.0252812764312,
random_boundary,0.021584999932680107,273.53178593239,
random_boundary,0.01976528366682666,258.737932888509,
random_boundary,0.016874387940677155,204.8681089482487,
random_boundary,0.014567090635289739,277.8675075865373,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.017018967966690682,260.84032491977933,
random_boundary,0.013905667455499262,343.53294746090603,
random_boundary,0.014567090635289739,277.8675075865373,
random_boundary,0.008297985393111624,267.7797955357446,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.019576572480941513,285.22068498360704,
random_boundary,0.00387548627169601,489.5489793139726,
random_boundary,0.010602917209986087,384.564125127985,
random_boundary,0.009737494076548711,501.24429180395157,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.010148346583605937,227.99771487486709,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.014502558070201121,268.0956288156398,
random_boundary,0.01109104870503666,228.06923487472253,
random_boundary,0.01168474791002435,339.13544821177413,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.01989194895680851,538.2400880891449,
random_boundary,0.01198024017873101,264.25182771393264,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.010602917209986087,384.564125127985,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.014502558070201121,268.0956288156398,
random_boundary,0.01198024017873101,264.25182771393264,
random_boundary,0.021870473223349757,266.9873756566217,
random_boundary,0.023729713080567198,241.75647834655214,
random_boundary,0.018113359291091476,272.3215714399308,
random_boundary,0.01696753639074783,388.14012293573575,
random_boundary,0.01696753639074783,388.14012293573575,
random_boundary,0.015504650788956244,534.1554812322119,
random_boundary,0.016217963642933222,231.09720405571014,
random_boundary,0.021584999932680107,273.53178593239,
random_boundary,0.014437855842495803,269.2490246275973,
random_boundary,0.022566432374149317,437.35067215596257,
random_boundary,0.011379852875161744,286.0416534472914,
random_boundary,0.013581209283677195,250.49628463475162,
random_boundary,0.010163797875487619,261.6991252707846,
random_boundary,0.01173755219562544,243.43429593618458,
random_boundary,0.013903676141273464,339.1950256044478,
random_boundary,0.01873580096156976,436.4536472992796,
random_boundary,0.013848925193264673,558.4561388678089,
random_boundary,0.015557177472770294,227.7277782299018,
random_boundary,0.025361094562671372,285.73179846718926,
random_boundary,0.007409909536452465,589.7475657620332,
random_boundary,0.008297985393111624,267.7797955357446,
random_boundary,0.015132720169158143,252.70502140072924,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.019743228921277025,261.8468020482628,
random_boundary,0.02074354591697648,294.9766971929779,
random_boundary,0.014778665365309071,268.9587732027227,
random_boundary,0.01725514946247172,281.5629966842608,
random_boundary,0.023026883167050285,222.50451115063512,
random_boundary,0.016874387940677155,204.8681089482487,
random_boundary,0.018889728946333523,227.29475274880855,
random_boundary,0.011266957055269786,210.79503068678846,
random_boundary,0.023994777789332913,294.7577496870798,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.023450459823503352,263.9963230265631,
random_boundary,0.019576572480941513,285.22068498360704,
random_boundary,0.008790412549255248,257.8830326820556,
random_boundary,0.020999872917886582,258.4973953404051,
random_boundary,0.018915886986290435,268.71872467459946,
random_boundary,0.019333035972367706,258.1603074976528,
random_boundary,0.013132874417240373,271.0838854774916,
random_boundary,0.023729713080567198,241.75647834655214,
random_boundary,0.009244117440685155,343.0619305229548,
random_boundary,0.01725514946247172,281.5629966842608,
random_boundary,0.013437071454861052,612.1030617078992,
random_boundary,0.024959159082374952,267.05570241230674,
random_boundary,0.01976528366682666,258.737932888509,
random_boundary,0.019576572480941513,285.22068498360704,
random_boundary,0.02133119748502308,300.25641261136394,
random_boundary,0.016874387940677155,204.8681089482487,
random_boundary,0.013688162667948455,194.49755301050797,
random_boundary,0.008567502658304893,435.17484164580895,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.015731119189635615,301.4634924138698,
random_boundary,0.015257709231887828,242.04792672767414,
random_boundary,0.01198024017873101,264.25182771393264,
random_boundary,0.021489229403294677,276.2114598015127,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.016874387940677155,204.8681089482487,
random_boundary,0.013776243578599745,195.24222796129015,
random_boundary,0.012691372506923782,289.132059203141,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.013543902254859531,230.40289221764633,
random_boundary,0.01725514946247172,281.5629966842608,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.015689433179952292,277.4180467709069,
random_boundary,0.017526821173457222,316.0889842572389,
random_boundary,0.011023990722939511,189.89522009416444,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.0270897041431878,327.32039810302325,
random_boundary,0.015146574286678515,285.19975996861575,
random_boundary,0.018915886986290435,268.71872467459946,
random_boundary,0.00967383136942749,332.0029456888551,
random_boundary,0.01936668186564888,264.73454744501316,
random_boundary,0.01936668186564888,264.73454744501316,
random_boundary,0.013901180409847414,314.64779600727496,
random_boundary,0.021409201765791124,297.26649170315426,
random_boundary,0.009008407167285232,486.8738514977027,
random_boundary,0.020999872917886582,258.4973953404051,
random_boundary,0.006972413651408754,196.6495765287274,
random_boundary,0.008941124783671907,395.10106961945786,
random_boundary,0.01063362998367197,261.8395293998018,
random_boundary,0.010597192436352093,265.7431705426267,
