weight,observed,drift_median,drift_lo,drift_hi,share_of_drift_at_or_above_observed
0.0,1.0,1.0,1.0,1.0,1.0
0.1,0.6066962484872933,1.0,0.6066962484872933,1.0,1.0
0.25,0.6066962484872933,0.9376688136297527,0.6066962484872933,1.0,1.0
0.5,0.6066962484872933,0.7651953656207026,0.5309149392423159,1.0,0.9133333333333333
1.0,0.6066962484872933,0.5806371160558828,0.45543655835904884,0.9080615001038839,0.47
2.0,0.2918198986184276,0.513615218879561,0.4035807824677905,0.6752612280833807,1.0
pottery alone,0.23669197982804835,0.031293943195534316,-0.043201988193842356,0.24988270476302613,0.03
