Assemblages,Parkin_Punctated,Barton/Kent/MPI,Painted,Fortune_Noded,Ranch_Incised,Walls_Engraved,Wallace_Incised,Rhodes_Incised,Vernon_Paul_Applique,Hull_Engraved
Barton_Ranch,404,208,6,16,4,0,0,0,0,0
Beck,590,498,67,10,21,19,12,8,7,1
Belle_Meade,923,637,42,12,33,27,15,13,5,2
Big_Eddy,48,77,102,1,0,0,0,1,0,0
Carson_Lake,39,62,46,0,0,0,0,0,0,6
Castile_Landing,426,69,105,4,4,0,1,4,1,0
Cheatham,8,4,4,0,1,1,0,1,0,0
Clay_Hill,70,50,59,0,0,2,0,0,0,0
Commerce,35,65,24,0,0,2,0,1,0,1
Connor,27,0,11,0,0,0,0,0,0,0
Cramor_Place,204,156,42,7,8,4,2,1,0,0
Cummins,206,48,2,0,3,0,0,0,2,0
Davis,35,11,33,0,0,0,0,0,0,0
Dundee,6,50,5,0,0,0,0,0,0,0
Fortune,143,54,3,0,0,0,0,0,0,0
Grant,11,28,52,0,2,0,0,0,0,0
Holden_Lake,27,294,7,24,2,0,2,1,3,0
Hollywood,61,74,79,0,2,8,0,2,0,0
Irby,30,15,12,0,12,12,0,7,2,1
Kent_Place,71,67,96,0,3,4,0,0,0,0
Lake_Cormorant,83,25,43,0,18,17,0,3,0,3
Mound_Place,97,37,16,1,7,5,0,5,0,0
Neeleys_Ferry,764,470,18,5,9,0,0,0,0,0
Nickel,728,364,160,9,5,8,14,3,7,2
Norfolk,18,14,5,0,6,5,0,1,0,0
Notgrass,10,10,10,3,2,3,0,0,0,0
Parchman,5,65,26,1,0,0,0,0,0,2
Parkin,865,323,59,17,35,0,0,0,4,0
Pouncey,40,17,2,0,0,2,0,0,0,1
Rose_Mound,549,328,77,19,4,0,3,1,2,0
Salomon,7,47,12,0,2,0,0,0,0,8
Starkley,42,56,69,0,1,3,0,0,0,0
Turnbow,20,87,13,7,1,0,0,0,0,0
Upper_Nodena,5,5,29,0,3,3,0,1,1,0
Vernon_Paul,528,198,13,0,19,0,0,0,0,0
Walls,244,40,18,1,16,21,0,14,0,6
Williamson,425,214,1,17,0,0,0,0,1,0
Woodlyn,73,11,6,0,6,6,0,3,0,2
