"Id_","Name1_","Name2_"
CLIPO198623,17-N-18,
CLIPO198670,18-N-7,
CLIPO198790,21-N-5,
CLIPO198429,12-N-9,Burns
CLIPO198448,13-N-18,
CLIPO198464,13-N-9,
CLIPO198465,13-N-11,
CLIPO198498,14-N-2,
CLIPO198520,15-N-2,Ellis
CLIPO198525,15-N-10,Dickerson
CLIPO198573,16-N-20,
CLIPO198574,16-N-5,
CLIPO198630,17-N-5,
CLIPO198702,19-N-6,
CLIPO198740,20-N-5,
CLIPO198709,19-N-7,
CLIPO198741,20-N-6,
CLIPO198575,16-N-4,
CLIPO198667,18-N-11,
CLIPO198708,19-N-5,
CLIPO198626,17-N-8,
CLIPO198668,18-N-4,
CLIPO198500,14-N-6,Helena
CLIPO198519,15-N-1,Hugh
CLIPO198793,21-N-22,
CLIPO198563,16-N-6,Oliver
CLIPO198629,17-N-14,
CLIPO198631,17-N-6,
CLIPO198387,11-N-10,Cross Country Clu
CLIPO198375,10-N-6,Block
CLIPO198383,11-N-6,Block
CLIPO198572,16-N-18,
CLIPO198627,17-N-11,
CLIPO198632,17-N-7,
CLIPO198742,20-N-7,
CLIPO198743,20-N-1,
CLIPO198794,21-N-12,
CLIPO198425,12-N-8,Beckles
CLIPO198426,12-N-7,Lansing
CLIPO198457,13-N-2,
CLIPO198625,17-N-9,
CLIPO198450,13-N-13,Rawlinson
CLIPO198461,13-N-16,
CLIPO198496,14-N-7,Whitehall
CLIPO198664,18-N-1,
CLIPO198564,16-N-19,Crawford
CLIPO198385,11-N-8,Williams
CLIPO198388,11-N-11,Delta
CLIPO198394,11-N-19,
CLIPO198397,11-N-21,
CLIPO198371,10-N-4,
CLIPO198372,10-N-5,
CLIPO198382,11-N-5,
CLIPO198390,11-N-13,
CLIPO198628,17-N-12,
CLIPO198454,13-N-3,
CLIPO198633,17-N-3,
CLIPO198665,18-N-2,
CLIPO198378,11-N-1,Parkin
CLIPO198427,12-N-13,Parks
CLIPO198569,16-N-3,
CLIPO198666,18-N-9,
CLIPO198669,18-N-8,
CLIPO198571,16-N-22,
CLIPO198455,13-N-5,Davis
CLIPO198458,13-N-6,
CLIPO198460,13-N-12,
CLIPO198570,16-N-23,
CLIPO198671,18-N-9,
CLIPO198462,13-N-23,
CLIPO198523,15-N-5,Parchman
CLIPO198567,16-N-10,
CLIPO198634,17-N-4,
CLIPO198795,21-N-13,
CLIPO198379,11-N-2,
CLIPO198381,11-N-4,
CLIPO198389,11-N-12,Turnbow
CLIPO198392,11-N-15,Fortune
CLIPO198365,10-N-12,Fortune
CLIPO198366,10-N-16,
CLIPO198367,10-N-14,
CLIPO198369,10-N-9,
CLIPO198386,11-N-9,
CLIPO198449,13-N-15,Nickel
CLIPO198705,19-N-9,
CLIPO198456,13-N-8,
CLIPO198459,13-N-4,
CLIPO198791,21-N-16,
CLIPO198565,16-N-11,
CLIPO198706,19-N-11,
CLIPO198707,19-N-10,
CLIPO198792,21-N-17,
CLIPO198796,21-N-19,
CLIPO198566,16-N-25,
CLIPO198568,16-N-9,
CLIPO198380,11-N-3,
CLIPO198428,12-N-16,Dent
CLIPO198391,11-N-14,
CLIPO198393,11-N-16,
CLIPO198368,10-N-18,
CLIPO198437,12-O-5,
CLIPO198463,13-N-10,
CLIPO198527,15-O-4,
CLIPO198531,15-O-9,
CLIPO198744,20-O-5,
CLIPO198797,21-O-6,
CLIPO198750,20-O-1,
CLIPO198530,15-O-10,
CLIPO198635,17-O-9,
CLIPO198710,19-O-9,
CLIPO198745,20-O-6,
CLIPO198798,21-O-7,
CLIPO198475,13-O-6,
CLIPO198529,15-O-5,
CLIPO198532,15-O-1,
CLIPO198800,21-O-9,
CLIPO198576,16-O-1,
CLIPO198636,17-O-12,
CLIPO198711,19-O-13,
CLIPO198749,20-O-2,
CLIPO198801,21-O-12,
CLIPO198396,11-N-18,
CLIPO198395,11-N-20,
CLIPO198333,10-O-9,
CLIPO198338,10-O-6,Shanty
CLIPO198341,10-O-6,Taylor Shanty
CLIPO198398,11-O-1,
CLIPO198399,11-O-4,Cummins
CLIPO198470,13-O-1,
CLIPO198474,13-O-8,
CLIPO198508,14-O-10,West
CLIPO198581,16-O-2,
CLIPO198720,19-O-7,
CLIPO198402,11-O-7,Lewis
CLIPO198509,14-O-8,Dundee
CLIPO198526,15-O-1,Lula
CLIPO198528,15-O-2,
CLIPO198583,16-O-15,
CLIPO198339,10-O-1,Miller
CLIPO198403,11-O-8,
CLIPO198584,16-O-16,
CLIPO198712,19-O-12,
CLIPO198803,21-O-3,
CLIPO198408,11-O-16,Berry
CLIPO198473,13-O-3,
CLIPO198719,19-O-8,
CLIPO198748,20-O-7,
CLIPO198802,21-O-4,
CLIPO198325,9-O-4,Lawhorn
CLIPO198328,9-P-2,Walnut Mound
CLIPO198332,10-O-10,Deep Landing
CLIPO198334,10-O-5,
CLIPO198400,11-O-5,
CLIPO198438,12-O-4,Davis
CLIPO198471,13-O-5,
CLIPO198577,16-O-11,
CLIPO198582,16-O-8,
CLIPO198746,20-O-3,
CLIPO198439,12-O-3,
CLIPO198479,13-O-5,
CLIPO198507,14-O-2,Owens
CLIPO198804,21-O-1,
CLIPO198502,14-O-4,
CLIPO198533,15-O-7,Powell
CLIPO198580,16-O-7,
CLIPO198717,19-O-10,
CLIPO198718,19-O-11,
CLIPO198747,20-O-18,
CLIPO198751,20-O-20,
CLIPO198799,21-O-5,
CLIPO198805,21-O-10,
CLIPO198401,11-O-6,
CLIPO198335,10-O-7,Warren Mound
CLIPO198340,10-O-4,Hazel
CLIPO198472,13-O-7,
CLIPO198503,14-O-7,
CLIPO198506,14-O-3,Beaverdam
CLIPO198637,17-O-6,
CLIPO198476,13-O-9,
CLIPO198477,13-O-4,
CLIPO198404,11-O-9,
CLIPO198406,11-O-11,
CLIPO198468,13-O-10,Hollywood
CLIPO198505,14-O-1,Evansville
CLIPO198585,16-O-3,
CLIPO198806,21-O-11,
CLIPO198469,13-O-11,Commerce
CLIPO198478,13-O-7,
CLIPO198409,11-P-8,Banks
CLIPO198440,12-O-2,Pouncey
CLIPO198501,14-O-6,
CLIPO198534,15-O-15,
CLIPO198441,12-O-6,Rhodes
CLIPO198467,13-O-12,
CLIPO198480,13-P-1,Walls
CLIPO198481,13-P-11,
CLIPO198482,13-P-7,
CLIPO198483,13-P-8,
CLIPO198484,13-P-5,
CLIPO198504,14-O-11,
CLIPO198510,14-O-13,Dundee
CLIPO198535,15-O-16,
CLIPO198638,17-O-3,
CLIPO198639,17-O-1,
CLIPO198536,15-O-18,
CLIPO198538,15-O-11,
CLIPO198578,16-O-6,
CLIPO198579,16-O-13,
CLIPO198713,19-O-15,
CLIPO198752,20-O-21,
CLIPO198755,20-O-15,
CLIPO198587,16-O-17,
CLIPO198640,17-O-11,
CLIPO198641,17-O-13,
CLIPO198756,20-O-12,
CLIPO198758,20-O-14,
CLIPO198642,17-O-4,
CLIPO198644,17-O-8,
CLIPO198715,19-O-14,
CLIPO198757,20-O-13,
CLIPO198807,21-O-2,
CLIPO198721,19-O-2,
CLIPO198753,20-O-10,
CLIPO198588,16-O-13,
CLIPO198586,16-O-14,
CLIPO198643,17-O-5,
CLIPO198714,19-O-3,
CLIPO198672,18-O-1,
CLIPO198716,19-O-4,
CLIPO198754,20-O-9,
CLIPO198537,15-O-12,
CLIPO198539,15-O-6,
CLIPO198540,15-O-13,
CLIPO198511,14-P-2,Pritchard
CLIPO198541,15-P-2,
CLIPO198589,16-P-2,
CLIPO198673,18-P-5,
CLIPO198723,19-P-2,
CLIPO198590,16-P-5,
CLIPO198591,16-P-6,
