region,model,n_ind,innovation,mixing,loss,matched,fst_median,sim_hs,sim_rich,sim_ht,obs_hs,obs_rich,obs_ht,selected
basin,pooled,120,0.0002,0.001,1.0321422012511479,False,0.18672977382617298,0.12498950799263954,1.9655172413793103,0.4523229988077611,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.002,1.0794006365236686,False,0.10820285379022015,0.13115140470160727,1.9482758620689655,0.3751799312262108,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.005,0.7003188640861642,False,0.25232888300299927,0.2292505344947322,2.2701149425287355,0.4497689132177876,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.01,0.56269290507172,False,0.09441401275872469,0.2890860419151829,2.454022988505747,0.42538578811980327,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.02,0.7028615246376648,False,0.012143287206552661,0.2695720738596034,2.3045977011494254,0.3493028909828119,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.05,0.8151841426584042,False,0.015924718272069975,0.25753350980927775,2.2471264367816093,0.2962997136318938,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.1,1.0145615982072402,False,0.017927705878038908,0.2112867066819946,2.4080459770114944,0.22608972317293752,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.2,0.7827521519423557,False,0.0016718727423667276,0.2679627029101132,2.6379310344827585,0.25996763308677967,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0002,0.4,0.9660739719556026,False,0.005415739297770714,0.23492057112829867,2.3333333333333335,0.23143168559243035,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.001,1.0463736201445581,False,0.0774526506037281,0.12830274758089286,2.120689655172414,0.3780411576546577,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.002,0.7421950308725325,False,0.10548240827192287,0.19649103963816827,2.396551724137931,0.4645380361951738,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.005,0.7393701153142442,False,0.11389321103541736,0.22608391166609124,2.448275862068965,0.3676725108799519,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.01,0.3969382048950769,False,0.11007167772680217,0.3474534621683974,2.7126436781609193,0.5558970159507512,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.0005,0.02,0.4994164980833635,False,0.07803434810639273,0.32558470938994294,2.770114942528736,0.3676349065087772,0.5096609240503605,5.896551724137931,0.5224925592027359,False
